DESCRICAO-SITUACAO-PATENTE,DATA-SITUACAO-PATENTE,STATUS-SITUACAO-PATENTE,DETALHAMENTO-DA-PATENTE_Id
"Depósito","25092010","SIM",0
"Concessão","01102013","SIM",0
"Depósito","30122005","SIM",1
"Concessão","17032009","SIM",1
"Pedido do Exame","26072007","SIM",1
"Depósito","30092008","SIM",2
"Depósito","22122009","SIM",3
"Depósito","27062010","SIM",4
"Depósito","11032011","SIM",5
"Depósito","12032015","SIM",6
"Depósito","25092010","SIM",7
