FINALIDADE,PLATAFORMA,AMBIENTE,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,FINALIDADE-INGLES,SOFTWARE_Id
"Popularização do desenvolvimento de dispositivos IoT","C e C++","","NAO_INFORMADO","Motorola","",0
"Biblioteca para o compartilhamento em formato binário e textual de padrões de código.","Linguagem C","","IRRESTRITA","","",1
