INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"IEEE/ACM","1","N","","","Seatle, WA, USA",0
"SBC","1","S","","Centro de Convenções da Unicamp","Campinas, SP, Brasil",1
"","","N","","Toronto Marriott Bloor Yorkville Hotel","Toronto",2
"","","N","","","Chamonix, França",3
"","","N","","","San jose, CA, USA",4
"Sociedade Brasileira de Computação","1","S","","Hotel Tryp","Campinas",5
"SBC","1","S","","Universidade Federal de São Paulo (UNIFESP)","São José dos Campos",6
"Sociedade Brasileira de Computação","1","S","","Majestic Palace Hotel","Florianópolis, SC",7
"IEEE","1","S","","Marina Del Rey Marriot","Los Angeles, CA, USA",8
"ACM","1","N","","San Jose Convention Center","San Jose, CA, EUA",9
