CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"118",0
1,"166",0
2,"106",0
