PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"42",0
1,"85",0
2,"105",0
3,"114",0
4,"135",0
5,"163",0
6,"179",0
7,"180",0
8,"181",0
9,"182",0
10,"184",0
11,"185",0
12,"186",0
13,"187",0
14,"199",0
15,"201",0
16,"204",0
17,"206",0
18,"115",0
