NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
"Prêmio ""Zeferino Vaz"" de reconhecimento do mérito acadêmico",Universidade Estadual de Campinas,2012
Prêmio Capes de Tese - Orientação,CAPES,2016
