NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Conselho Nacional de Desenvolvimento Científico e Tecnológico,OUTRO,Conflitos sociais e transformações sócio-econômicas na agricultura do sul
Ministério do Trabalho/ DIEESE,COOPERACAO,"Análise das restrições ao uso dos Fundos Públicos - FGTS, FAT e Fundos Constitucionais de Financiamento - e Propostas de Aperfeiçoamento"
Banco Interamericano de Desenvolvimento,COOPERACAO,Basel II Adoption and Adaptation in Latin América
Banco Nacional de Desenvolvimento Econômico e Social,AUXILIO_FINANCEIRO,Perspectiva do Investimento na dimensão do Mercosul e da integração da América Latina
BNB,AUXILIO_FINANCEIRO,Bancos públicos e desenvolvimento econômico no Brasil
Instituto de Pesquisa Econômica Aplicada - DF,AUXILIO_FINANCEIRO,Bancos públicos e desenvolvimento econômico no Brasil
Fundação do Desenvolvimento Administrativo,AUXILIO_FINANCEIRO,O papel das políticas públicas na internacionalização das grandes empresas
Caixa Econômica Federal,COOPERACAO,Ciclo de Estudos e Debates sobre o Financiamento do Desenvolvimento no Âmbito do Acordo de Basiléia II
Conselho Nacional de Desenvolvimento Científico e Tecnológico,COOPERACAO,Infra-estrutura econômica e indicadores sociais.
Instituto de Pesquisa Econômica Aplicada - DF,BOLSA,Arquitetura Financeira Internacional
