NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
EN,Inglês,BEM,BEM,BEM,BEM
ES,Espanhol,BEM,POUCO,POUCO,BEM
FR,Francês,BEM,RAZOAVELMENTE,POUCO,BEM
