TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Predictably Dependable Computer Systems","","87","101","3540593349","Brian Randell; Jean-Claude Laprie; Hermann Kopetz","","","","Springer-Verlag",0
"Fault-Tolerant Parallel and Distributed Systems (1994 IEEE Workshop)","","226","233","0818668075","D. Pradham; D. Avresky","","","","IEEE Computer Society Press",1
"Pattern Languages of Program Design 4","1","337","371","0201433044","Neil Harrison; Brian Foote; Hans Rohnert","1a.","","","Addison-Wesley",2
"Advances in Exception Handling Techniques","2022","189","206","3540419527","A. Romanovsky; C. Dony; J.L. Knudsen; A. Tripathi","","","","Springer-verlag",3
"Architecting Dependable Systems II","3069","144","166","3540407278","A.Romanosvky;C.Gacek;R.deLemos","","","Heidelberg","Spring Verlag",4
"Desenvolvimento Baseado em Componentes: Conceitos e Técnicas","","167","197","8573934069","Itana Gimenes; Elisa Huzita","1a.","","Rio de Janeiro","Ciência Moderna",5
"Advanced Topics in Exception Handling Techniques; Lecture Notes on Computer Science","4119","255","274","3540374435","A.Romanovsky;  C.Dony; J.L.Knudsen;  A.Tripathi","","","Berlin","Springer-Verlag",6
"Rigorous Development  of Fault-Tolerant  Systems, Lecture Notes on Computer Science","4157","80","99","3540482659","Butler, M.; Jones, C.; Romanovsky, A.; Troubitsyna, E.","","","Berlin","Springer",7
"Software Engineering for Self-Adaptive Systems (SEfSAS) 3","9640","1","","9780387898278","Rogério de Lemos, David Garlan, Carlo Ghezzi and Holger Giese","1","1","","Lecture Notes in Computer Science, Springer",8
"Architecting Dependable Systems (LNCS)","2677","129","149","3540407278","Alexander Romanovky; Cristina Gacek; Rogério de Lemos","","","Berlin Heidelberg","Springer-Verlag",9
