CODIGO-CURSO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,NIVEL-CURSO,INFORMACOES-ADICIONAIS-CURSOS_Id
"31000045","","","020200000009","Universidade Federal do Rio de Janeiro","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"33021759","","","006700000002","Universidade de São Paulo","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","DOUTORADO",0
"33050040","","","006742000000","Instituto de Ciências Matemáticas e de Computação","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"33070059","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"33070210","","","007900000004","Universidade Estadual de Campinas","ENGENHARIAS","Engenharia Elétrica","","","MESTRADO_DOUTORADO",0
"51500337","","","024000000008","Universidade de Brasília","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO",0
"60001569","","","020700000008","Pontifícia Universidade Católica do Paraná","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"60002700","","","006700000002","Universidade de São Paulo","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO_DOUTORADO",0
"60025441","","","169600000005","Universidade Metodista de Piracicaba","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","MESTRADO",0
"60041870","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","DOUTORADO",0
"60044730","","","020200000009","Universidade Federal do Rio de Janeiro","OUTROS","","","","DOUTORADO",0
"60341572","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"60361522","","","007900000004","Universidade Estadual de Campinas","OUTROS","","","","GRADUACAO",0
"90000001","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","GRADUACAO",0
"90000002","","","127900000005","Newcastle University","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","DOUTORADO",0
"90000003","","","000100000991","Pontífice Universidade Católica do Rio de Janeiro","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","DOUTORADO",0
"90000004","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Metodologia e Técnicas da Computação","Engenharia de Software","APERFEICOAMENTO",0
"90000005","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","APERFEICOAMENTO",0
"90000006","","","007900000004","Universidade Estadual de Campinas","CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","","OT",0
