NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SIMPOSIO_Id
"Simpósio","Comitê de Programa","2007","Brasil","","NAO_INFORMADO","http://www.sbbd-sbes2007.ufpb.br/","NAO","Avaliador","Convidado","","","NAO",0
"Simpósio","Comitê de Programa","2008","Brasil","","NAO_INFORMADO","http://www.inf.pucrs.br/sbcars2008/","NAO","Avaliador","Convidado","","","NAO",1
"Simpósio","Comitê de Programa","2008","Brasil","","NAO_INFORMADO","http://sbbdes.ic.unicamp.br/","NAO","Avaliador","Convidado","","","NAO",2
"Simpósio","Comitê de Programa","2006","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",3
"Simpósio","Comitê de Programa","2008","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",4
"Simpósio","Comitê de Programa","2004","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",5
"Simpósio","Comitê de Programa","2005","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",6
"Simpósio","Comitê de Programa","2008","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",7
"Simpósio","Managing Variabilities in Component-based Software Product Lines","2006","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",8
"Simpósio","Comitê de Programa","2005","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",9
"Simpósio","Comitê de Programa","2004","Grã-Bretanha","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",10
"Simpósio","Comitê de Programa","2004","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",11
"Simpósio","Comitê de Programa","2004","Grã-Bretanha","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",12
"Simpósio","Um Repostório com Suporte à Evolução Centrada na Arquitetura de Software","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",13
"Simpósio","Comitê de Programa","2006","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",14
"Simpósio","Comitê de Programa","2006","Estados Unidos","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",15
"Simpósio","Comitê de Programa","2006","Estados Unidos","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",16
"Simpósio","Comitê de Programa","2008","Brasil","","NAO_INFORMADO","https://grupos.ufrgs.br/pipermail/sbc-l/2008-March/001307.html","NAO","Avaliador","Convidado","","","NAO",17
"Simpósio","Comitê de Programa","2008","Brasil","","NAO_INFORMADO","http://riss2007.cesar.org.br/","NAO","Avaliador","Convidado","","","NAO",18
"Simpósio","Comitê de Programa","2005","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",19
"Simpósio","Membro do Comitê de Programa","2009","Brasil","","NAO_INFORMADO","http://ladc2009.lsd.ufcg.edu.br/","NAO","Avaliador","Convidado","","","NAO",20
"Simpósio","Membro do Comitê de Programa","2013","França","","NAO_INFORMADO","http://sesos2013.icmc.usp.br/","NAO","Avaliador","Convidado","","","NAO",21
"Simpósio","Comitê de Programa","2006","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",22
"Simpósio","Comitê de Programa","2005","Estados Unidos","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",23
"Simpósio","Comitê de Programa","2008","Grã-Bretanha","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",24
"Simpósio","Comitê de Programa","2007","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",25
"Simpósio","Comitê de Programa","2004","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",26
"Simpósio","Comitê de Programa","2004","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",27
"Simpósio","Comitê de Programa","2004","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",28
"Simpósio","Comitê de Programa","2005","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",29
"Simpósio","Explicit Exception Handling Variability in Component-based Product Line Architectures","2008","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",30
"Simpósio","Comitê de Programa","2006","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",31
"Simpósio","Comitê de Programa","2005","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",32
"Simpósio","Comitê de Programa","2006","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",33
"Simpósio","Membro de Comitê de Programa, in conjuction with the 23rd IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE 2014), June 23-25, 2014, University Campus Parma, Italy.","2014","Itália","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",34
