TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"7",0
1,"8",0
2,"10",0
3,"11",0
4,"12",0
5,"13",0
6,"14",0
7,"15",0
8,"16",0
9,"17",0
10,"18",0
11,"20",0
12,"21",0
13,"22",0
14,"23",0
15,"24",0
16,"25",0
17,"26",0
18,"27",0
19,"28",0
20,"29",0
21,"30",0
22,"31",0
23,"32",0
24,"33",0
25,"37",0
26,"38",0
27,"39",0
28,"41",0
29,"52",0
30,"53",0
31,"54",0
32,"55",0
33,"60",0
34,"61",0
35,"62",0
36,"65",0
37,"66",0
38,"67",0
39,"74",0
40,"75",0
41,"76",0
42,"77",0
43,"78",0
44,"79",0
45,"80",0
46,"125",0
47,"133",0
48,"134",0
49,"135",0
50,"136",0
51,"151",0
52,"152",0
53,"153",0
54,"154",0
55,"155",0
56,"156",0
57,"157",0
58,"158",0
59,"187",0
60,"190",0
61,"199",0
62,"241",0
63,"242",0
64,"245",0
65,"246",0
66,"247",0
67,"248",0
68,"249",0
69,"256",0
70,"259",0
71,"260",0
72,"261",0
73,"277",0
74,"298",0
75,"299",0
76,"304",0
77,"305",0
78,"317",0
79,"319",0
80,"320",0
81,"321",0
82,"322",0
83,"323",0
84,"326",0
85,"327",0
86,"331",0
87,"332",0
88,"334",0
89,"336",0
90,"337",0
91,"348",0
92,"349",0
93,"377",0
94,"378",0
95,"379",0
96,"401",0
97,"411",0
98,"413",0
99,"415",0
100,"417",0
101,"418",0
102,"419",0
103,"420",0
104,"421",0
105,"425",0
106,"426",0
107,"427",0
108,"19",0
