SEQUENCIA-LINHA,TITULO-DA-LINHA-DE-PESQUISA,FLAG-LINHA-DE-PESQUISA-ATIVA,OBJETIVOS-LINHA-DE-PESQUISA,TITULO-DA-LINHA-DE-PESQUISA-INGLES,OBJETIVOS-LINHA-DE-PESQUISA-INGLES,PESQUISA-E-DESENVOLVIMENTO_Id
"1","Engenharia de Software","SIM","Estudo de métodos, processos, arquitetura de software para sistemas orientados a objetos e baseados em componentes.","","",0
"3","Ferramentas e Ambientes de Desenvolvimento de Software","NAO","","","",0
"4","Linhas de produtos de software","NAO","","","",0
"5","Arquitetura de software","NAO","","","",0
"6","Desenvolvimento baseado em Componentes","NAO","","","",0
"7","Tolerância a Falhas; Tratamento de Exceções","NAO","","","",0
"8","arquiteturas orientadas a serviços","NAO","","","",0
