NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Tese de doutorado","Assurance Cases Applied to Dynamic Applications","2015","Brasil","Português","","","",0
"Tese de doutorado","An Infrastructure to Suport Autonomic Control Loops in Dynamic Software Product Lines","2010","Brasil","Português","","","",1
"Tese de doutorado","A Self-Adaptive Solution applied to Dynamic Processes in the Medical Domain","2015","Brasil","Português","","","",2
