NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário de Engenharia de Software do RioInfo 2005","","","","Rio de Janeiro, RJ, 23 de agosto","",0
"Dagstuhl Seminar no.13511 Software Engineering for Self-Adaptive Systems: Assurances","","","","Saarbrücken","",1
