NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"VII Simpósio Brasileiro de  Componentes, Arquiteturas e Reutilização de Software (SBCARS 2013),  evento integrante do IV Congresso Brasileiro de Software:Teoria e Prática (CBSoft 2013)","","","","Brasília, DF","",0
"XXVII Simpósio Brasileiro de  Engenharia de Software (SBES 2013), evento integrante do IV  Congresso Brasileiro de Software: Teoria e Prática (CBSoft 2013)","","","","Brasília, DF","",1
"XXV Concurso de Teses e Dissertações} (CTD 2012), evento integrante do XXXII Congresso da Sociedade Brasileira de Computação (CSBC 2012)","","","","Curitiba, PR","",2
"Second International Conference on Innovative Views of .NET Technologies (IVNET´2006), October 21","","","","Florianopólis, SC","",3
"15th International ACM  SIGSOFT  Symposium on  Component Based  Software  Engineering  (CBSE 2012)","","","","Bertinoro, Italy","",4
"XXVI Simpósio Brasileiro de  Engenharia de Software (SBES 2012), parte integrante do III  Congresso Brasileiro de Software Teoria e Prática (CBSoft 2012)","","","","Natal, RN","",5
"5th European Conference on  Software Architecture (ECSA 2011)","","","","Essen, Germany.","",6
"IV Simpósio Brasileiro de Componentes, Arquiteturas e Reutilização de Software (SBCARS 2010),  parte integrante do I Congresso Brasileiro de Software: Teoria e Prática (CBSoft 2010)","","","","Salvador, BA","",7
"VI Simpósio Brasileiro de  Componentes, Arquiteturas e Reutilização de Software (SBCARS 2012),  parte integrante do III Congresso Brasileiro de Software Teoria e Prática (CBSoft 2012)","","","","Natal, RN","",8
"XXVI Concurso de Teses e Dissertações (CTD 2013), evento integrante do XXXIII Congresso da Sociedade Brasileira de Computação (CSBC 2013)","","","","Macéio, AL","",9
"XXV Simpósio Brasileiro de  Engenharia de Software (SBES 2011), parte integrante do II  Congresso Brasileiro de Software: Teoria e Prática (CBSoft 2011)","","","","São Paulo, SP","",10
"14th International ACM  SIGSOFT  Symposium on Component Based Software Engineering (CBSE 2011)","","","","Boulder, Colorado, USA.","",11
"26th International Conference on Distributed Computing Systems (ICDCS´2006), July 4-7","","","","Lisboa","",12
"4th International Workshop on Exception Handling (WEH 2008)","","","","Atlanta, Georgia, USA","",13
"V Simpósio Brasileiro de  Componentes, Arquiteturas e Reutilização de Software (SBCARS 2011),  parte integrante do II Congresso Brasileiro de Software: Teoria e Prática (CBSoft 2011)","","","","São Paulo, SP","",14
"7th European Conference on  Software Architecture (ECSA 2013)","","","","Montpellier, France","",15
"Microsoft Research Faculty Summit","","","","Redmond, Washington, July 17-18","",16
"XXIV Simpósio Brasileiro de Engenharia de Software (SBES 2010), parte integrante do I  Congresso Brasileiro de Software: Teoria e Prática (CBSoft 2010)","","","","Salvador, BA.","",17
"XXIV Concurso de Teses e Dissertações} (CTD 2011), evento integrante do XXXI Congresso da Sociedade Brasileira de Computação (CSBC 2011)","","","","Natal, RN","",18
"Congresso da Sociedade Brasileira de Computação","","","","Campinas - SP","",19
"XI Workshop de Testes e  Tolerância a Falhas (WTF 2010), evento integrante do XXVIII  Simpósio de Redes de Computadores (SBRC 2010)","","","","Gramado,  RS.","",20
