CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"INTERNACIONAL","OOPSLA'98 Workshop on Reflective programming in C++ and Java","Vancouver, CA","1998","Proceedings of the OOPSLA'98 Workshop on Reflective programming in C++ and Java","","","","","","","","","",0
"INTERNACIONAL","5th Pattern Language of Programming (PloP'98)","Monticello, IL, EUA","1998","","","","","","","","","","",1
"INTERNACIONAL","25th IEEE Annual International Symposium on Fault-Tolerant Computing (FTCS-25)","Pasadena, CA","1995","","","","","499","509","","","","",2
"INTERNACIONAL","PDCS2 Second Year Report - Predictably Dependable Computing Systems","Newcastle upon Tyne","1994","","","","","417","439","","","","",3
"NACIONAL","XII Simpósio Brasileiro de Engenharia de Software (SBES'98)","Maringá, PR","1998","","","","","","","","","","",4
"NAO_INFORMADO","XII Simpósio Brasileiro de Engenharia de Software (SBES'98)","Maringá, PR","1998","","","","","","","","","","",5
"NAO_INFORMADO","I Workshop de Tolerância a Falhas (I WTF)","Porto Alegre, RS","1998","","","","","","","","","","",6
"NACIONAL","Workshop Iberoamericano de Engenharia de Requisitos e Ambientes de Software (IDEAS'98)","Torres, RS, Brasil","1998","","","","","38","49","","","","",7
"NACIONAL","XI Simpósio Brasileiro de Engenharia de Software (SBES'97)","Fortaleza, CE","1997","","","","","99","114","","","","",8
"NACIONAL","XI Simpósio Brasileiro de Engenharia de Software (SBES'97)","Fortaleza, CE","1997","","","","","115","130","","","","",9
"NACIONAL","II Simpósio Brasileiro de Linguagens de Programação (SBLP'97)","Campinas, SP","1997","","","","","245","266","","","","",10
"NACIONAL","VII Simpósio Brasileiro de Computadores Tolerantes a Falhas (SCTF'97)","Campina Grande, PB","1997","","","","","91","105","","","","",11
"NAO_INFORMADO","VII Simpósio Brasileiro de Computadores Tolerantes a Falhas (SCTF'97)","Campina Grande, PB","1997","","","","","75","89","","","","",12
"NACIONAL","III Workshop em Sistemas Multimídia e Hipermídia","São Carlos, SP","1997","","","","","143","154","","","","",13
"REGIONAL","V Escola Regional de Informática da SBC  Regional Sul (V-ERI-Sul)","Florianópolis, SC","1997","","","","","132","146","","","","",14
"REGIONAL","I Simpósio Regional de Tolerância a Falhas (SRTF'96)","Porto Alegre, RS","1996","","","","","107","114","","","","",15
"REGIONAL","I I Simpósio Regional de Tolerância a Falhas (SRTF'96)","Porto Alegre, RS","1996","","","","","99","106","","","","",16
"REGIONAL","I Simpósio Regional de Tolerância a Falhas (SRTF'96)","Porto Alegre, RS","1996","","","","","","","","","","",17
"REGIONAL","I Simpósio Regional de Tolerância a Falhas (SRTF'96)","Porto Alegre, RS","1996","","","","","123","130","","","","",18
"NACIONAL","I Simpósio Brasileiro de Linguagens de Programação (SBLP'96)","Belo Horizonte, MG","1996","","","","","385","398","","","","",19
"NACIONAL","XXIII Seminário Integrado de Software e Hardware (SEMISH'96)","Recife, PE","1996","","","","","155","166","","","","",20
"INTERNACIONAL","28th IEEE Annual Symposium on Fault-Tolerant Computing","Munique, Alemanha","1998","Digest of Fast Abstracts of the 28th IEEE Annual International Symposium on Fault-Tolerant Computing (FTCS-28)","","","","25","26","","","","",21
"INTERNACIONAL","28th IEEE Annual Symposium on Fault-Tolerant Computing","Munique, Alemanha","1998","Digest of Fast Abstracts of the 28th IEEE Annual International Symposium on Fault-Tolerant Computing (FTCS-28)","","","","45","46","","","","",22
"NACIONAL","XVI Simpósio Brasileiro de Redes de Computadores (SBRC'98)","Rio de Janeiro, RJ","1998","","","","","","","","","","",23
"NACIONAL","First Workshop on Distributed Systems (WoSid'96)","Salvador, BA","1996","","","","","","","","","","",24
"INTERNACIONAL","10th IEEE International Symposium on Software Reliability Engineering","Boca Raton, Florida, EUA","1999","","","","","","","","","","",25
"INTERNACIONAL","5th Pattern Language of Programming (PLoP´98)","Monticello, IL,EUA","1998","","","","","","","","","","",26
"INTERNACIONAL","ICSE´98 Workshop on Software Engineering over the Internet","Kyoto, Japan","1998","","","","","","","","","","",27
"NACIONAL","VIII Simposio Brasileiro de Computacao Tolerante a Falhas","Campinas, SP, Brasil","1999","","","","","","","","","","",28
"INTERNACIONAL","Fifth IEEE International Symposium on High Assurance Systems Engineering (HASE´00)","Albuquerque, New Mexico","2000","Anais do Fifth IEEE Intl. Symposium on High Assurnace Systems Engineering","","","","311","320","","IEEE Computer Society Press","","",29
"INTERNACIONAL","Second Workshop on Exception Handling in Object-Oriented Systems","Sophia Antipolis and Cannes","2000","Anais do Second Workshop on Exception Handling in Object-Oriented Systems","","","","","","","","","",30
"NACIONAL","Segundo Workshop em Testes e Tolerância a Falhas (II WTF)","Curitiba - PR","2000","Anais do Segundo Workshop em Testes e Tolerância a Falhas","","","","","","","","","",31
"NACIONAL","Segundo Worshop de Testes e Tolerância a Falhas (II WTF)","Curitiba - PR","2000","Anais do II Workshop de Testes e Tolerância a Falhas","","","","","","","","","",32
"INTERNACIONAL","6th IEEE International Symposium on High Assurance Systems Engineering (HASE´2001)","Boca Raton, Florida, USA","2001","6th IEEE International Symposium on High Assurance Systems Engineering","","","","","","","IEEE Computer Society Press","","",33
"INTERNACIONAL","4th IEEE International symposium on Object-oriented real-time distributed computing (ISORC´2001)","Madeburg, Germany","2001","4th IEEE International Symposium on Object-Oriented Real-time distributed computing","","","","103","112","","IEEE Computer Society Press","","",34
"NACIONAL","IX Brazilian Symposium on Fault-tolerant computing","Florianópolis, SC","2001","IX Brazilian Symposium on fault-tolerant computing","","","","99","113","","","","",35
"NACIONAL","II workshop de testes e tolerância a falhas","Curitiba, PR","2000","II workshop de testes e tolerância a falhas","","","","100","105","","","","",36
"INTERNACIONAL","IEEE 2002 International Performance and Dependability Symposium (IPDS) joint with DSN´2002","Washington, D.C.","2002","Proceedings of the IEEE 2002 International Conference on Dependable Systems and Networks (DSN´02)","","","","483","487","","IEEE Press","","",37
"INTERNACIONAL","ICSE 2002 Workshop on Architecting Dependable Systems","Orlando, Florida","2002","Proceedings of the ICSE 2002 Worshop on Architecting Dependable Systems","","","","","","","","","",38
"INTERNACIONAL","1st Latin-American Symposium on Dependable Computing","São Paulo","2003","Lecture Notes in Computer Science (LNCS)","2847","","","321","340","","Springer-Verlag","","",39
"INTERNACIONAL","3rd Workshop on Exception-Handling in Object-Oriented Systems (ECOOP´2003) - 17th European Conference on Object-Oriented Programming","Darmstadt, Germany","2003","Proceedings of The 3rd Workshop on Exception Handling in  Object-Oriented Systems","","","","","","","","","",40
"INTERNACIONAL","Workshop on Architecting Dependable Systems","Portland, Oregon","2003","Proceedings of  the   ICSE 2003 Workshop on Architecting  Dependable  Systems (25th ACM/IEEE International Conference on Software Engineering - ICSE´2003)","","","","13","18","","","","",41
"INTERNACIONAL","18th  IEEE International Symposium on Automated Software Engineering","Montreal","2003","Proceedings of the 18th  IEEE International Symposium on Automated Software Engineering","","","","327","330","","IEEE Press","","",42
"INTERNACIONAL","Joint Conferences 9th European Software Engineering Conference and 11th ACM SIGSOFT Symposium on Foundations of Software Engineering (ESEC/FSE'2003)","Helsinki","2003","Proceedings of the Joint Conferences 9th European Software Engineering Conference and 11th ACM SIGSOFT Symposium on Foundations of Software Engineering (ESEC/FSE'2003)","","","","","","","IEEE Press","","",43
"INTERNACIONAL","6th IEEE International Symposium   on  Object-Oriented  Real-Time Distributed Computing (ISORC'2003)","Hokkaido,  Japan","2003","Proceedings of the 6th IEEE International Symposium   on  Object-Oriented  Real-Time Distributed Computing","","","","139","142","","IEEE Press","","",44
"INTERNACIONAL","Proceedings of  Research Colloquium of the 3rd IFIP Conference on e-Commerce, e-Business and e-Government  (I3E 2003)","Guarujá, São Paulo","2003","Proceedings of  Research Colloquium of the 3rd IFIP Conference on e-Commerce, e-Business and e-Government  (I3E 2003)","","","","","","","","","",45
"NACIONAL","Terceiro Workshop de Desenvolvimento Baseado em Componentes","São Carlos","2003","Anais do III Workshop de Desenvolvimento basedo em componentes","","","","","","","","","",46
"INTERNACIONAL","EUROMICRO Conference","Rennes, France","2004","Proceedings of the 30th EUROMICRO Conference","","","","575","582","","IEEE Computer Society","Los Alamitos, CA","",47
"NACIONAL","IV Workshop Brasileiro de Desenvolvimento Baseado em Componentes","João Pessoa","2004","Proceedings do IV Workshop Brasileiro de Desenvolvimento Baseado em Componentes","","","","","","","","","",48
"NACIONAL","IV Workshop Brasileiro de Desenvolvimento Baseado em Componentes","João Pesooa","2004","Proceedings do IV Workshop Brasileiro de Desenvolvimento Baseado em Componentes","","","","","","","","","",49
"NACIONAL","VIII Simpósio Brasileiro de Linguagens de Programação (SBLP´2004)","Niterói","2004","Proceedings do VIII Simpósio Brasileiro de Linguagens de Programação","","","","","","","","","",50
"INTERNACIONAL","Workshop on Architecting Dependable Systems","Saint Louis, Missouri, USA","2005","Proceedings of the ICSE 2005 Workshop on Architecting Dependable Systems (WADS'2005) - 27th ACM/IEEE Intl Conference on Software Engineering","","","","1","7","","","","",51
"INTERNACIONAL","Workshop on Rigorous Engineering of Fault-Tolerant Systems (REFT'2005)","Newcastle upon Tyne, England","2005","Proceedings of the Workshop on Rigorous Engineering of Fault-Tolerant Systems at the 13th Intl Symposium of Formal Methods (FM'2005)","","","","112","121","","","","",52
"INTERNACIONAL","Workshop on Exception Handling in Object-Oriented Systems","Glasglow, Scotland, UK.","2005","Proceedings of the Workshop on Exception Handling in Object-Oriented Systems at the European Conference on Object-Oriented Programming (ECOOP'2005)","","","","137","149","","","","",53
"INTERNACIONAL","Workshop on Architecture-Centric Evolution","Glasglow, Scotland, U.K.","2005","Proceedings of the Workshop on Architecture-Centric Evolution at the 19th European Conference on Object-Oriented Programming (ECOOP'2005)","","","","1","10","","","","",54
"INTERNACIONAL","Second Latin-American Symposium on Dependable Computing","Salvador, BA, Brazil","2005","Proceedings of the Second Latin-American Symposium on Dependable Computing (LADC'2005) - Lecture Notes on Computing Science (LNCS)","3747","","","61","79","3540295720","Springer-Verlag","Heidelberg","",55
"INTERNACIONAL","ACM Symposium on Applied Computing (SAC'2006)","Dijon, France","2006","Proceedings of the 21st Annual ACM Symposium on Applied Computing (ACM SAC'2006)","","","","680","685","15959310","ACM Press","","",56
"NACIONAL","V Workshop Brasileiro de Desenvolvimento de Software Baseado em Componentes (WDBC'2005)","Juiz de Fora, MG","2005","Proceedings do V Workshop Brasileiro de Desenvolvimento Baseado em Componentes (WDBC'2005)","","","","41","48","","","","",57
"NACIONAL","V Workshop Brasileiro de Desenvolvimento Baseado em Componentes (WDBC'2005)","Juiz de Fora, MG","2005","Proceedings do V Workshop Brasileiro de Desenvolvimento Baseado em Componentes (WDBC'2005)","","","","1","8","","","","",58
"INTERNACIONAL","11th  International  Workshop  on Component-Oriented Programming","Nantes, França","2006","Proceedings of the 11th  International  Workshop  on Component-Oriented Programming","","","","48","53","","","","",59
"INTERNACIONAL","14th ACM SIGSOFT Symposium on Foundations of Software Engineering (FSE'2006)","Portland, Oregon, USA","2006","Proceedings of the 14th ACM SIGSOFT Symposium on Foundations of Software Engineering","","","","152","162","15959346","SIGSOFT-ACM","","",60
"NACIONAL","VI Worshop Brasileiro de Desenvolvimento Baseado em Componentes","Olinda","2006","Proceedings do VI Worshop Brasileiro de Desenvolvimento Baseado em Componentes","","","","47","54","","","","",61
"INTERNACIONAL","2nd Workshop on Best Practices in Applying Aspect-oriented Software Development (BPAOSD 2007)
Practices in Applying Aspect-oriented Software Development (BPAOSD'07)","Vancouver","2007","Proceedings of the 2nd Workshop on Best Practices in Applying Aspect-oriented Software Development (BPAOSD'07) at the 2007 Annual Aspect-Oriented Software Development Conference (AOSD 2007)","","","","1","6","","ACM Press","New York, NY","",62
"INTERNACIONAL","6th Latin-American Symposium on Pattern Languages of Programs (SugarLoafPlop'2007)","Porto de Galinhas, PE, Brazil","2007","Proceedings of the 6th Latin-American Symposium on Pattern Languages of Programs (SugarLoafPlop'2007)","","","","22","45","","","","",63
"INTERNACIONAL","DSN 2007 Workshop on Architecting Dependable Systems (WADS 2007)","Edinburgh","2007","Proceedings of the DSN 2007 Workshop on Architecting Dependable Systems (WADS'2007) at the 37th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN 2007)","","","","166","171","","","","",64
"NACIONAL","VIII Workshop de Teste e Tolerância a Falhas (WTF 2007)","Belém do Pará","2007","Proceedings of VIII Workshop de Teste e Tolerância a Falhas (WTF 2007)","","","","113","126","","","","",65
"INTERNACIONAL","Third Latin-American Symposium on Dependable Computing","Morelia,Mexico","2007","Proceedings of the Third Latin-American Symposium on Dependable Computing (LADC 2007), Lecture Notes in Computer Science (LNCS)","4146","","","75","94","","Springer","Berlin","",66
"NACIONAL","IV Workshop de Manutenção de Software Moderna (WMSWM 2007)","Porto de Galinhas, PE, Brazil","2007","Proceedings of IV Workshop de Manutenção de Software Moderna (WMSWM 2007)","","","","57","73","","","","",67
"INTERNACIONAL","IEEE 23rd International Conference on Software Maintenance (ICSM 2007)","Paris","2007","Proceedings of the IEEE 23rd International Conference on Software Maintenance (ICSM 2007)","","","","134","143","","IEEE Press","","",68
"INTERNACIONAL","11th IEEE High Assurance Systems Engineering Symposium (HASE 2008)","Nanjing, China","2008","Proceedings of the 11th IEEE High Assurance Systems Engineering Symposium (HASE 2008)","","","","","","","IEEE Press","New York","",69
"INTERNACIONAL","2nd European Conference on Software Architecture (ECSA 2008)","Paphos, Cyprus","2008","Lecture  Notes in Computer Science (LNCS)","5292","","","131","147","","Spring-Verlag","Berlin Heidelberg","",70
"NACIONAL","XXXV Seminário Integrado de Software e Hardware (SEMISH 2008)","Belém do Pará","2008","Anais do XXVIII Congresso da Sociedade Brasileira de Computação (SBC)","","","","61","75","","","","",71
"INTERNACIONAL","Digest of FastAbstracts of The 38th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN 2008)","Anchorage, Alaska,USA","2008","Proceedings of the Digest of FastAbstracts of The 38th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN 2008)","","","","3","4","","IEEE Press","New York","",72
