CAPITULO-DE-LIVRO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,CAPITULOS-DE-LIVROS-PUBLICADOS_Id
0,"5",0
1,"6",0
2,"35",0
3,"59",0
4,"132",0
5,"150",0
6,"175",0
7,"186",0
8,"428",0
9,"69",0
