SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"73","Um Ambiente para Desenvolvimento de Sistemas Tolerantes a Falhas usando Componentes de Software","Tese de doutorado","",0
"85","Um Método para Modelagem de Exceções em Desenvolvimento Baseado em Componentes","Dissertação de mestrado","",0
"86","Bellatrix: Um ambiente com Suporte Arquitetural para Desenvolvimento Baseado em Componentes","Dissertação de mestrado","",0
"87","Um Processo de Desenvolvimento baseado em Componentes adaptado ao Model Driven Architecture (MDA)","Dissertação de mestrado","",0
"89","Uma Abordagem Arquitetural com Tratamento de Exceções para Sistemas de Software baseados em Componentes","Dissertação de mestrado","",0
"129","Um Repositório  com Suporte para Desenvolvimento  Baseado  em  Componentes","Dissertação de mestrado","",0
"130","Uma Infra-estrutura de Software para Apoiar a Construção de Arquiteturas de Software Baseadas em Componentes","Dissertação de mestrado","",0
"160","Uma Ferramenta de Apoio à Montagem de Configurações Arquiteturais baseada no Modelo COSMOS*","Dissertação de mestrado","",0
"161","Uma infra-estrutura de suporte à evolução para repositórios de componentes","Dissertação de mestrado","",0
"163","Uma Infra-Estrutura Confiável para Arquiteturas Baseadas em Serviços Web Aplicada à Pesquisa de Biodiversidade","Dissertação de mestrado","",0
"73","Um Ambiente para Desenvolvimento de Sistemas Tolerantes a Falhas usando Componentes de Software","Tese de doutorado","",1
"82","Tratamento de Exceções no Desenvolvimento de Sistemas Tolerants a Falhas baseados em Componentes","Tese de doutorado","",1
"85","Um Método para Modelagem de Exceções em Desenvolvimento Baseado em Componentes","Dissertação de mestrado","",1
"87","Um Processo de Desenvolvimento baseado em Componentes adaptado ao Model Driven Architecture (MDA)","Dissertação de mestrado","",1
"89","Uma Abordagem Arquitetural com Tratamento de Exceções para Sistemas de Software baseados em Componentes","Dissertação de mestrado","",1
"129","Um Repositório  com Suporte para Desenvolvimento  Baseado  em  Componentes","Dissertação de mestrado","",1
"130","Uma Infra-estrutura de Software para Apoiar a Construção de Arquiteturas de Software Baseadas em Componentes","Dissertação de mestrado","",1
"159","A Rigorous Architectural Approach to Develop Dependable Component-Based Software Systems","Tese de doutorado","",1
"160","Uma Ferramenta de Apoio à Montagem de Configurações Arquiteturais baseada no Modelo COSMOS*","Dissertação de mestrado","",1
"161","Uma infra-estrutura de suporte à evolução para repositórios de componentes","Dissertação de mestrado","",1
"163","Uma Infra-Estrutura Confiável para Arquiteturas Baseadas em Serviços Web Aplicada à Pesquisa de Biodiversidade","Dissertação de mestrado","",1
"85","Um Método para Modelagem de Exceções em Desenvolvimento Baseado em Componentes","Dissertação de mestrado","",2
"162","Modularização de Tratamento de Exceções usando Programação Orientada a Aspectos","Dissertação de mestrado","",2
"82","Tratamento de Exceções no Desenvolvimento de Sistemas Tolerants a Falhas baseados em Componentes","Tese de doutorado","",3
