SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,FORMATO-CARGO-OU-FUNCAO,CARGO-OU-FUNCAO,NOME-UNIDADE,CARGO-OU-FUNCAO-INGLES,ATIVIDADES-DE-DIRECAO-E-ADMINISTRACAO_Id
"1","ANTERIOR","5","1998","6","1999","007902000990","Instituto de Computação","","LIVRE","Presidente da Comissão Diretora de Informática do Instituto de Computação","","",0
"2","ANTERIOR","5","1998","9","1998","007902000990","Instituto de Computação","","LIVRE","Chefe da Seção de Informática do Instituto de Computação da UNICAMP","","",0
"8","ANTERIOR","5","2002","4","2005","007901000997","Pró Reitoria de Graduação","","LIVRE","Assessora do Pró-Reitor de graduação da UNICAMP, Prof. José Luiz Boldrini.","","",0
"19","ANTERIOR","8","2004","09","2006","007902000990","Instituto de Computação","","LIVRE","Vice-Chefe do Departamento de Sistemas de Informações - DSI","","",0
"75","ANTERIOR","5","2009","4","2013","007942000002","Reitoria","007942001998","LIVRE","Assessora da Coordenadoria Geral da Universidade (CGU) da UNICAMP.","Coordenadoria Geral da Universidade (CGU-UNICAMP)","",0
"18","ANTERIOR","5","2005","3","2009","007901000997","Pró Reitoria de Graduação","","LIVRE","Assessora do Pró-Reitor de Graduação da UNICAMP..","","",0
