NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Um processo para construcao e instanciacao de frameworks baseados em uma linguagem de padrões para um domínio específico","2003","Brasil","Português","","","",0
"Doutorado","Um modelo de composição dinâmica entre sistemas de componentes de software","2000","Brasil","Português","","","",1
"Doutorado","Um Enfoque Baseado em Modelos para o Design Orientado a Aspectos","2004","Brasil","Português","","","",2
"Doutorado","Fluid Web e Componentes de Conteúdo Digital: da Visão Centrada em Documentos para a Visão Centrada em Contéudo","2006","Brasil","Inglês","","","",3
"Doutorado","Uso de Risco na Validação de Sistemas Baseados em Componentes","2006","Brasil","Português","","","",4
"Doutorado","Tratamento de Exceções no Desenvolvimento de Sistemas Tolerants a Falhas baseados em Componentes","2006","Brasil","Português","","","",5
"Doutorado","Uma Abordagem de Apoio à Criação de Arquiteturas de Referência de Domínio baseada na Análise de Sistemas Legados","2007","Brasil","Português","","","",6
"Doutorado","A Rigorous Architectural Approach to Develop Dependable Component-Based Software Systems","2009","Brasil","Português","","","",7
"Doutorado","Uma Infraestrutura Autoadaptativa baseada em Linhas de Produtos de Software para Composições de Serviços Tolerantes a Falhas","2013","Brasil","Português","","","",8
"Doutorado","Evolução de Arquiteturas de Linhas de Produtos baseadas em Componentes e Aspectos","2012","Brasil","Português","","","",9
"Doutorado","SystEM-PLA: Um Método Sistemático Para Avaliação de Arquitetura de Linha de Produto de Software Baseado em UML","2010","Brasil","Português","","","",10
"Doutorado","Geração de Planos de  Reconfiguração Composicional em Tempo de Execução","2014","Brasil","Português","","","",11
