SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","INF304-Análise Orientada a Objetos (turmas 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007)",0
"1","INF318-Análise Orientada a Objetos e Projeto Arquitetural (turma 2008, 2009,2010,2011,2012,2013,2014). ",1
"1","MC102 Algoritmos e Programação de Computadores",2
"2","MC302 Programação Orientada a Objetos, 2012, 2011.",2
"3","MC336 Paradigmas de Programação, 2009, 2008, 2007, 2005.",2
"4","MC426 Engenharia de Software, 2001.",2
"5","MC427 Laboratório de Engenharia de Software, 2006, 2004, 2003, ",2
"6","MC436 Introdução `a Engenharia de Software, 2009, 2007, 2006, ",2
"7","MC976 Tópicos em Engenharia de Software II, 2009, 2008, 2007,",2
"1","MO409 Engenharia de Software I, 2010.",3
"2","MO620 Engenharia de Software II, 2013, 2012, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2000, 1999, 1997.",3
"3","MO807 Tópicos em Engenharia de Software, 1996.",3
"4","MO901 Seminário de Computação, 2008, 1998.",3
"1","MC302 Programação Orientada a Objetos: 2013",4
"2","MC426 Engenharia de Software: 2013",4
"3","MC436 Introdução `a Engenharia de Software: 2013",4
"4","MC437 Projeto de Sistemas de Informação: 2013, 2014.",4
"1","INF061-Arquitetura de Software, 24 horas, 1S2007.",5
"2","INF064-Arquitetura de Software:Conceitos e Avaliação,18 horas, 1S2008.",5
