NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"SIMPOSIO","Managing Variabilities in Component-based Software Product Lines","2006","Brasil","Português","NAO","","","NAO",0
"CONFERENCIA","Explicit Exception Handling Variability in Component-based Product Line Architectures","2008","Brasil","Português","NAO","","","NAO",1
