NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id
"Supervisão de pós-doutorado","","2013","Brasil","Português","","NAO","","",0
"Supervisão de pós-doutorado","Estudos Empíricos sobre Evolução de Arquiteturas de Linhas de Produtos Baseadas em Componentes e Aspectos","2014","Brasil","Português","","NAO","","",1
