NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","Reflective Design Patterns to Implement Fault Tolerance","1998","Canadá","Inglês","IMPRESSO","","NAO","","","NAO",0
"COMPLETO","Tropyc: A Pattern Language for Cryptographic Software","1998","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",1
"COMPLETO","Fault Tolerance in Concurrent Object-Oriented Software Through Coordinated Error Recovery","1995","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",2
"COMPLETO","Object-Oriented Environmental Fault Tolerance","1995","Inglaterra","Inglês","IMPRESSO","","NAO","","","NAO",3
"COMPLETO","Padrão State Reflexivo: Refinamento do padrão de projeto State para uma arquitetura reflexiva","1998","Brasil","Português","IMPRESSO","","NAO","","","NAO",4
"COMPLETO","Um sistema de padrões para software criptográfico orientado a objetos","1998","Brasil","Português","IMPRESSO","","NAO","","","NAO",5
"COMPLETO","Segurança em Sistemas de Micropagamentos Eletrônicos","1998","Brasil","Português","IMPRESSO","","NAO","","","NAO",6
"COMPLETO","Um Framework para Editores de Diagramas Cooperativos baseados em Anotações","1998","Brasil","Português","IMPRESSO","","NAO","","","NAO",7
"COMPLETO","Construção de um Framework para Sistemas Controladores de Trens utilizando Padrões de Projeto e Metapadrões","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",8
"COMPLETO","Uma Abordagem Reflexiva para a Construção de Frameworks para Interfaces Homem-Computador.","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",9
"COMPLETO","Reflexão Computacional em Linguagens de Programação: Um Estudo Comparativo","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",10
"COMPLETO","Uma Experiência Prática em Programação Orientada a Objetos, Distribuída e Confiável","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",11
"COMPLETO","Um Framework Orientado a Objetos Reflexivo para a Construção de Software Tolerante a Falhas.","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",12
"COMPLETO","Um Modelo de Anotações para o Desenvolvimento Cooperativo de Software","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",13
"COMPLETO","Estruturação de Sistemas Orientados a Objetos Tolerantes a Falhas usando Reflexão Computacional","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",14
"COMPLETO","Implementação de uma Pilha Robusta Tolerante a Falhas de Software em um Ambiente Distribuído","1996","Brasil","Português","IMPRESSO","","NAO","","","NAO",15
