NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Concurso público","Concurso Público para Cargo de Professor Adjunto DE do Departamento de Computação da Universidade Federal de São Carlos","2001","Brasil","Português","","","",0
"Concurso público","Concurso Público para Cargo de Professor Doutor na área de Informática, Centro Superior de Educação Tecnológica (CESET), UNICAMP, 4-5/12/2007","2007","Brasil","Português","","","",1
"Concurso público","Concurso Público para Cargo de Professor Adjunto na área de Engenharia de Software, Banco de Dados e Sistemas de Informação do Departamento de Ciência da Computação da Universidade de Brasília-UnB","2008","Brasil","Português","","","",2
"Concurso público","Concurso Público para Cargo de Professor Adjunto I na área de Engenharia de Software e Sistemas de Informação","2009","Brasil","Português","","","",3
"Concurso público","Concurso Público para Cargo de Professor Adjunto I na área de Engenharia de Software e Banco de Dados","2009","Brasil","Português","","","",4
"Concurso público","Cargo de Professor Adjunto do Departamento de Ciência da Computação (CIC) da UnB na área de Fundamentos de Computação e Programação","2013","Brasil","Português","","","",5
"Concurso público","Concurso Público para Cargo de Professor Doutor na área de Fundamentos da Computação e Orientação a Objetos do IC-UNICAMP","2012","Brasil","Português","","","",6
