NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"XXI Simpósio Brasileiro de Engenharia de Software (SBES 2007)","","","","João Pessoa, PB","",0
"II Simpósio Brasileiro de Componentes, Arquiteturas e Reutilização de Software (SBCARS 2008)","","","","Porto Alegre, RS","",1
"XXII Simpósio Brasileiro de Engenharia de Software (SBES 2008)","","","","Campinas,SP","",2
"VII Workshop de Testes e Tolerância a Falhas (WTF´2006), 29/5 a 2/6","","","","Curitiba, PR","",3
"Workshop on Advanced Computing for Critical Systems and EMergency Preparedness and Response (WCEMP 2008)","","","","São Paulo,SP","",4
"IV Workshop Brasileiro de Desenvolvimento de Software Baseado em Componentes (WDBC'2004), 15-17/9","","","","João Pessoa, PB","",5
"II Workshop Brasileiro de Desenvolvimento de Software Orientado a Aspectos (WASP´2005), 4/10","","","","Uberlândia,MG","",6
"I Workshop de Teses e Dissertações (WTDSI 2008)","","","","Rio de Janeiro,RJ","",7
"VI Worshop Brasileiro de Desenvolvimento Baseado em Componentes","","","","Olinda, Pernanbuco","",8
"IX Simpósio Brasileiro de Linguagens de Programação (SBLP´2005), 23-25/5","","","","Recife, Pernanbuco","",9
"Workshop on Software Engineering for Large-Scale Multi-Agent Systems (SELMAS´2004) junto com 26th ACM/IEEE International Conference on Software Engineering, May 23-28","","","","Edinburgh, Scotland","",10
"I Workshop Brasileiro de Desenvolvimento de Software Orientado a Aspectos (WASP´2004), 18/10","","","","Brasília, DF","",11
"Workshop on Architecting Dependable Systems (WADS´2004) junto com 26th ACM/IEEE International Conference on Software Engineering, May 23-28","","","","Edinburgh, Scotland","",12
"V Workshop Brasileiro de Desenvolvimento de Software Baseado em Componentes (WDBC'2005)","","","","Juiz de Fora, MG, Brazil, 7-9/11/2005.","",13
"III Workshop Brasileiro de Desenvolvimento de Software Orientado a Aspectos (WASP´2006), 17/10","","","","Florianopólis, SC","",14
"Workshop on Software Engineering for Large-Scale Multi-Agent Systems (SELMAS´2005) junto com 27th ACM/IEEE International Conference on Software Engineering, May 15-21","","","","Saint Louis, Missouri","",15
"Workshop on Architecting Dependable Systems (WADS´2006) junto com 28th ACM/IEEE International Conference on Software Engineering, June 27","","","","Philadelphia, Pennsylvania","",16
"IX Workshop de Testes e Tolerância a Falhas (WTF  2008)","","","","Rio de Janeiro,RJ","",17
"1st Workshop on Software Reuse Efforts (WSRE 2008)","","","","Recife,PE","",18
"V Workshop Brasileiro de Desenvolvimento Baseado em Componentes (WDBC´2005), 7-9/11","","","","Juiz de Fora, MG","",19
"4th Latin-American Symposium on Dependable Computing (LADC 2009)","","","","João Pessoa,PB","",20
"International Workshop on  Software  Engineering  for  Systems-of-Systems  (SESoS  2013),  co-located with ECSA/ECMFA/ECOOP","","","","Montpellier, France","",21
"VI Workshop Brasileiro de Desenvolvimento Baseado em Componentes (WDBC´2006), 4-8/12","","","","Olinda, Pernanbuco","",22
"Workshop on Architecting Dependable Systems (WADS´2005) junto com 27th ACM/IEEE International Conference on Software Engineering, May 15-21","","","","Saint Louis, Missouri","",23
"International Workshop on Software Engineering for Resilient Systems (SERENE 2008)","","","","Newcastle upon Tyne, UK","",24
"VIII Workshop de Teste e Tolerância a Falhas (WTF 2007)","","","","Belém do Pará, PA","",25
"VIII Simpósio Brasileiro de Linguagens de Programação (SBLP´2004), 26-28/5","","","","Niterói,RJ","",26
"V Workshop de Testes e Tolerância a Falhas (WTF´2004), 10-14/5","","","","Porto Alegre, RS","",27
"XVIII Simpósio Brasileiro de Engenharia de Software (SBES´2004), 6-10/10","","","","Brasília, DF","",28
"Second Latin-American Symposium on Dependabel Computing (LADC´2005), October 25-28, in cooperation with IFIP and IEEE","","","","Salvador, BA","",29
"4th International Workshop on Exception Handling (WEH 2008)","","","","Atlanta, Georgia, USA","",30
"XX Simpósio Brasileiro de Engenharia de Software (SBES´2006), 16-20/10","","","","Florianopólis, SC","",31
"XIX Simpósio Brasileiro de Engenharia de Software (SBES´2005), 3-7/10","","","","Uberlândia,MG","",32
"X Simpósio Brasileiro de Linguagens de Programação (SBLP´2006), 15-17/5","","","","Itatiaia,RJ","",33
"4th Track on Adaptive and Reconfigurable Service-oriented and component-based Applications and Architectures (AROSA 2014)","","","","Parma","",34
