PARTICIPACAO-EM-SIMPOSIO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"290",0
1,"287",0
2,"285",0
3,"219",0
4,"283",0
5,"236",0
6,"225",0
7,"288",0
8,"212",0
9,"226",0
10,"230",0
11,"235",0
12,"229",0
13,"195",0
14,"227",0
15,"222",0
16,"214",0
17,"286",0
18,"284",0
19,"228",0
20,"281",0
21,"352",0
22,"216",0
23,"221",0
24,"282",0
25,"289",0
26,"237",0
27,"238",0
28,"233",0
29,"223",0
30,"275",0
31,"217",0
32,"224",0
33,"220",0
34,"405",0
