NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id
"ensino","Introdução à Análise Orientada a Objetos","2006","Brasil","Português","VARIOS","","NAO","","","","NAO",0
"ensino","Introdução à Programação Orientada a Objetos usando Java","2006","Brasil","Português","VARIOS","","NAO","","","","NAO",1
"ensino","A Linguagem de Programação C++","1995","Brasil","Português","HIPERTEXTO","http://www.ic.unicamp.br/~cmrubira","NAO","","","","NAO",2
"ensino","A Linguagem de Programação Java","1996","Brasil","Português","HIPERTEXTO","http://www.ic.unicamp.br/~cmrubira","NAO","","","","NAO",3
