NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de doutorado","Um framework baseado em uma linguagem de padrões para sistema de gestão de recursos de negócio","2001","Brasil","Português","","","",0
"Exame de qualificação de doutorado","Ensino, aprendizado e treinamento no contexto de testes e validação de software","2000","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Uma Abordagem Baseada em Características para Controles Eletrônicos","2005","Brasil","Português","","","",2
"Exame de qualificação de doutorado","Avaliação Experimental de Risco para Sistemas Baseados em Componentes","2005","Brasil","Português","","","",3
"Exame de qualificação de doutorado","Uma abordagem Arquitetural para Linhas de Produto de Software baseadas em Componentes","2006","Brasil","Português","","","",4
"Exame de qualificação de doutorado","Um Processo Orientado a Modelos para Reutilização de Software","2006","Brasil","Português","","","",5
"Exame de qualificação de doutorado","Uma Infra-Estrutura de Desenvolvimento Rigoroso e Centrado na Arquitetura para Sistemas Confiáveis Baseados em Componentes","2007","Brasil","Português","","","",6
"Exame de qualificação de doutorado","Advacing  Scientific Data Sharing","2009","Brasil","Português","","","",7
"Exame de qualificação de doutorado","Complex Objects in Digital Libraries","2009","Brasil","Português","","","",8
"Exame de qualificação de doutorado","Uma Contribuição à Formalização Semântica da UML","2013","Brasil","Português","","","",9
"Exame de qualificação de doutorado","Composição Dinâmica de Sistemas Heterogêneos Multidisciplinares","2010","Brasil","Português","","","",10
"Exame de qualificação de doutorado","Linhas de Produtos de Software Dinâmicas e Tolerantes a Falhas para Arquiteturas Orientadas a Serviços Web","2010","Brasil","Português","","","",11
"Exame de qualificação de doutorado","Digital Content Components","2005","Brasil","Português","","","",12
