INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Sociedade Brasileira de Computação (SBC)","1","N","","Universidade Estadual de Campinas - UNICAMP","Campinas, São Paulo.",0
"IFIP Working Group 10.4 Meeting -- Dependable Computing and Fault Tolerance","1","N","","Pousada do Ouro","Paraty, RJ, Brasil.",1
"UNICAMP e Sociedade Brasileira de Computação (SBC)","1","N","","Universidade Estadual de Campinas - UNICAMP","Campinas, São Paulo.",2
"UNICAMP e Sociedade Brasileira de Computação (SBC)","1","N","","Universidade Estadual de Campinas - UNICAMP","Campinas, São Paulo.",3
"Sociedade Brasileira de Computação (SBC)","1","S","","Universidade Estadual de Campinas (UNICAMP)","Campinas,SP",4
"Universidade Estadual de Campinas","1","S","","Universidade Estadual de Campinas (UNICAMP)","Campinas, SP",5
"Sociedade Brasileira de Computação","1","N","","INPE","São José dos Campos, SP, Brasil",6
"Instituto de Computação - UNICAMP","1","N","","Instituto de Computação - UNICAMP","Campinas, SP, Brasil",7
"Sociedade Brasileira de Computação","1","N","","Hotel Windsor Plaza","Rio de Janeiro, R J",8
