SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"133","Structuring Exception Handling for Dependable Component-Based Software Systems","Trabalho publicado em anais de eventos(Completo)","",0
"134","Um Método para Modelagem de Exceções em Desenvolvimento Baseado em Componentes","Trabalho publicado em anais de eventos(Completo)","",0
"135","Bellatrix: Um ambiente para Suporte Arquitetural ao Desenvolvimento Baseado em Componentes","Trabalho publicado em anais de eventos(Completo)","",0
"149","A systematic approach for structuring exception handling in robust component-based software","Artigo publicado em periódicos(Completo)","A systematic approach for structuring exception handling in robust component-based software",0
"150","Desenvolvimento Baseado em Componentes e Confiabilidade","Capítulo de livro publicado","",0
"154","A Systematic Approach for the Evolution of Reusable Software Components","Trabalho publicado em anais de eventos(Completo)","",0
"155","A Method for Modeling and Testing Exceptions in Component-Based Software Development","Trabalho publicado em anais de eventos(Completo)","",0
"156","Verification of Coordinated Exception Handling","Trabalho publicado em anais de eventos(Completo)","",0
"157","Um Repostório com Suporte à Evolução Centrada na Arquitetura de Software","Trabalho publicado em anais de eventos(Completo)","",0
"149","A systematic approach for structuring exception handling in robust component-based software","Artigo publicado em periódicos(Completo)","A systematic approach for structuring exception handling in robust component-based software",1
"150","Desenvolvimento Baseado em Componentes e Confiabilidade","Capítulo de livro publicado","",1
"154","A Systematic Approach for the Evolution of Reusable Software Components","Trabalho publicado em anais de eventos(Completo)","",1
"155","A Method for Modeling and Testing Exceptions in Component-Based Software Development","Trabalho publicado em anais de eventos(Completo)","",1
"157","Um Repostório com Suporte à Evolução Centrada na Arquitetura de Software","Trabalho publicado em anais de eventos(Completo)","",1
"158","Um Modelo Conceitual e uma Terminologia para o Desenvolvimento Baseado em Componentes e Centrado na Arquitetura de Software","Trabalho publicado em anais de eventos(Completo)","",1
"186","Reasoning about Exception Flow at the Architectural Level","Capítulo de livro publicado","",1
"187","Automated Deployment of Component Architectures with Versioned Components","Trabalho publicado em anais de eventos(Completo)","",1
"149","A systematic approach for structuring exception handling in robust component-based software","Artigo publicado em periódicos(Completo)","A systematic approach for structuring exception handling in robust component-based software",2
"151","A Framework for Analyzing Exception Flow in Software Architectures","Trabalho publicado em anais de eventos(Completo)","",2
"152","Modeling and Analysis of Architectural Exceptions","Trabalho publicado em anais de eventos(Completo)","",2
"153","A Quantitative Study on the Aspectization of Exception Handling","Trabalho publicado em anais de eventos(Completo)","",2
"155","A Method for Modeling and Testing Exceptions in Component-Based Software Development","Trabalho publicado em anais de eventos(Completo)","",2
"156","Verification of Coordinated Exception Handling","Trabalho publicado em anais de eventos(Completo)","",3
"186","Reasoning about Exception Flow at the Architectural Level","Capítulo de livro publicado","",3
