NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Persistência de Objetos baseada em reflexão computacional","2003","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Programação reflexiva sobre o protocolo de metaobjetos Guaraná","2001","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Desenvolvimento de Componentes de Software Autotestáveis","2002","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Técnicas de orientação da objetos para projeto de sistemas adaptáveis","2000","Brasil","Português","","","",3
"Mestrado","NAO_INFORMADO","Uso e aplicação de modelos econômicos em sistemas de informação para geomarketing","2003","Brasil","Português","","","",4
"Mestrado","NAO_INFORMADO","Uma taxonomia facetada para técnicas de elicitação de requisitos","2003","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Persistência de Objetos baseada em reflexão computacional","2003","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Xingó: Compilação para uma Representação Intermediária Executável","2004","Brasil","Português","","","",7
"Mestrado","NAO_INFORMADO","Recomendações para melhoria de manutenbilidade de  sistemas basedos em COTS","2003","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Estratégia para Testes de Componentes usando Injeção de Falhas","2005","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Um Método de Testes para Componentes Tolerantes a Falhas","2005","Brasil","Português","","","",10
"Mestrado","NAO_INFORMADO","Um Método de Testes de Integração para Sistemas Baseados em Componentes","2006","Brasil","Português","","","",11
"Mestrado","NAO_INFORMADO","SOCRATES: Um Sistema Orientado a Objetos para Caracterização de Refatorações","2006","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Especificação de Implementação de uma Ferramenta para Gerenciamento de Requisitos","2006","Brasil","Português","","","",13
"Mestrado","ACADEMICO","Modelo de Verificação de Processos de Negócio através de uma Máquina Virtual Pi-Calculus","2006","Brasil","Português","","","",14
"Mestrado","ACADEMICO","Classificação Semi-automática de Componentes Java","2006","Brasil","Português","","","",15
"Mestrado","ACADEMICO","Uma Infra-estrutura de Software para Apoiar a Construção de Arquiteturas de Software Baseadas em Componentes","2007","Brasil","Português","","","",16
"Mestrado","ACADEMICO","Uma infra-estrutura de suporte à evolução para repositórios de componentes","2007","Brasil","Português","","","",17
"Mestrado","ACADEMICO","Classificação e Busca de Componentes com Tratamento de Exceções","2008","Brasil","Português","","","",18
"Mestrado","ACADEMICO","Geração Automática de Cenários de Teste a Partir  de Modelos de Especificação de Sistemas","2008","Brasil","Português","","","",19
"Mestrado","ACADEMICO","Evolução de Componentes Compartilhados por Múltiplas Linhas de Produto de Software","2009","Brasil","Português","","","",20
"Mestrado","ACADEMICO","Uma Infra-Estrutura Confiável para Arquiteturas Baseadas em Serviços Web Aplicada à Pesquisa de Biodiversidade","2009","Brasil","Português","","","",21
"Mestrado","ACADEMICO","Evolução e Recuperação de Arquiteturas de Software baseadas em Componentes","2013","Brasil","Português","","","",22
"Mestrado","ACADEMICO","Método Ágil aplicado ao Desenvolvimento de Software Confiável baseado em Componentes","2013","Brasil","Português","","","",23
"Mestrado","ACADEMICO","Linha de Produtos de Software Dinâmica Direcionada por Qualidade: o Caso de Redes de Monitoração do Corpo Humano","2012","Brasil","Português","","","",24
"Mestrado","ACADEMICO","Uma abordagem de Linhas de Produtos de Software para Apoiar e-Science","2012","Brasil","Português","","","",25
"Mestrado","ACADEMICO","Variabilidade de Tratamento de Exceções em Linhas de Produtos de Software","2012","Brasil","Português","","","",26
"Mestrado","ACADEMICO","Uso de Análise de Mutantes para Avaliar Abordagens de Casos de Testes Baseados em Máquinas de Estado Estendidas","2012","Brasil","Português","","","",27
"Mestrado","ACADEMICO","Uma Ferramenta de Apoio à Montagem de Configurações Arquiteturais Baseada no Modelo COSMOS*","2010","Brasil","Português","","","",28
"Mestrado","ACADEMICO","Projeto e Implementação de um Mecanismo de Tratamento de Exceções Coordenadas para Arquiteturas de Componentes de Serviços","2010","Brasil","Português","","","",29
"Mestrado","ACADEMICO","Projeto e Implementação de Varibilidades em Arquiteturas Baseadas no Modelo de Componentes COSMOS*","2010","Brasil","Português","","","",30
"Mestrado","ACADEMICO","Ações Atômicas Coordenadas na Plataforma Java EE","2010","Brasil","Português","","","",31
"Mestrado","NAO_INFORMADO","Uma Avaliação da Influência da Arquitetura no Desempenho de Sistemas","2006","Brasil","Português","","","",32
