PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"91",0
1,"96",0
2,"137",0
3,"189",0
4,"206",0
5,"207",0
6,"244",0
7,"303",0
8,"385",0
9,"386",0
10,"387",0
11,"412",0
