TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Journal of Object-Oriented Systems","0969-9767","1","1","","61","85","",0
"Journal of the Brazilian Computer Society","01046500","4","2","","39","48","",1
"Computer Journal","00104620","44","6","","569","587","",2
"Journal of the Brazilian Computer Society (Impresso)","01046500","10","3","3","5","19","SBC",3
"The Journal of Systems and Software","01641212","82","","5","874","890","",4
"Software, Practice & Experience (Print)","00380644","39","","","1377","1417","",5
"Journal of Computer Science and Technology","10009000","24","","2","212","237","",6
"IEEE Software","07407459","23","","2","80","87","",7
"The Journal of Systems and Software","01641212","79","","10","1397","1418","",8
"Journal of the Brazilian Computer Society (Impresso)","01046500","18","","1","43","59","",9
"Software, Practice & Experience (Print)","00380644","35","","3","195","236","",10
"Journal of Universal Computer Science (Print)","0948695X","10","","7","843","858","",11
"The Journal of Systems and Software","01641212","59","","2","197","222","",12
"Journal of Software Engineering Research and Development","21951721","2","","1","13","","",13
"The Journal of Systems and Software","01641212","86","","4","905","933","",14
"Electronic Notes in Theoretical Computer Science","15710661","321","","","113","127","",15
"Information and Software Technology","09505849","53","","2","121","136","",16
