ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"42",0
1,"43",0
2,"44",0
3,"45",0
4,"47",0
5,"48",0
6,"49",0
7,"56",0
8,"64",0
9,"71",0
10,"72",0
11,"81",0
12,"83",0
13,"84",0
14,"85",0
15,"87",0
16,"89",0
17,"129",0
18,"130",0
19,"160",0
20,"161",0
21,"162",0
22,"163",0
23,"253",0
24,"254",0
25,"266",0
26,"292",0
27,"314",0
28,"315",0
29,"328",0
30,"329",0
31,"335",0
32,"371",0
33,"372",0
34,"373",0
35,"374",0
36,"375",0
37,"409",0
38,"86",0
