FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"relatório técnico, publicado na Technical University of Vienna, TUV-1841-99-11, July, 1999","","25","IRRESTRITA","Technical University of Vienna","Vienna, Austria","",0
"relatório técnico, publicado no Instituto de Computação-UNICAMP, IC-99-17.","","19","IRRESTRITA","Universidade Estadual de Campinas","Campinas, SP","",1
"technical report, Institute of Computing, UNICAMP, IC-99-21, September 1999.","","17","IRRESTRITA","Universidade Estadual de Campinas","Campinas, SP","",2
"technical report, School of Computing Science, Newcastle University, UK, CS-TR-714","","53","IRRESTRITA","Newcastle University","Newcastle upon Tyne, UK","",3
"relatório técnico, publicado no Instituto de Computação-UNICAMP, IC-08-04","","58","IRRESTRITA","Universidade Estadual de Campinas","Campinas, SP","",4
"technical report, School of Computing Science, Newcastle University, UK, CS-TR-780","","","IRRESTRITA","Newcastle University","Newcastle upon Tyne, UK","",5
