NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id
"Livre-docência","Concurso Público de Livre-Docência do ICMC-USP","2011","Brasil","Português","","","",0
"Livre-docência","Concurso Público de Livre-Docência do IME-USP","2011","Brasil","Português","","","",1
"Livre-docência","Concurso Público de Livre-Docência do IME-USP","2013","Brasil","Português","","","",2
