NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SEMINARIO_Id
"Seminário","Painel "Estratégia Nacional para Componentes"","2005","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",0
"Seminário","Model-driven infrastructure for reliable service compositions using dynamic software product lines","2013","Alemanha","","NAO_INFORMADO","http://www.dagstuhl.de/13511","NAO","Apresentação Oral","Participante","","","NAO",1
