NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Membro do Comitê de Programa","2013","Brasil","","NAO_INFORMADO","http://cbsoft2013.unb.br/sbcars","NAO","Avaliador","Convidado","","","NAO",0
"Congresso","Membro do Comitê de Programa","2013","Brasil","","NAO_INFORMADO","http://cbsoft2013.unb.br/sbes","NAO","Avaliador","Convidado","","","NAO",1
"Congresso","Membro do Comitê de Programa","2012","Brasil","","NAO_INFORMADO","http://www.imago.ufpr.br/csbc2012/ctd.php","NAO","Avaliador","Convidado","","","NAO",2
"Congresso","Comitê de Programa","2006","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",3
"Congresso","Membro do Comitê de Programa","2012","Itália","","NAO_INFORMADO","http://cbse-conferences.org/2012/","NAO","Avaliador","Convidado","","","NAO",4
"Congresso","Membro do Comitê de Programa","2012","Brasil","","NAO_INFORMADO","http://www.cbsoft.dimap.ufrn.br/sbes_apresentacao.php","NAO","Avaliador","Convidado","","","NAO",5
"Congresso","Membro do Comitê de Programa","2011","Alemanha","","NAO_INFORMADO","http://www.ecsa2011.org/","NAO","Avaliador","Convidado","","","NAO",6
"Congresso","Membro do Comitê de Programa","2010","Brasil","","NAO_INFORMADO","http://wiki.dcc.ufba.br/CBSOFT/SBCARS2010Pt","NAO","Avaliador","Convidado","","","NAO",7
"Congresso","Membro do Comitê de Programa","2012","Brasil","","NAO_INFORMADO","http://www.cbsoft.dimap.ufrn.br/sbcars_apresentacao.php?lang=en","NAO","Avaliador","Convidado","","","NAO",8
"Congresso","Membro do Comitê de Programa","2013","Brasil","","NAO_INFORMADO","http://www.ic.ufal.br/csbc2013/noticias/ctd","NAO","Avaliador","Convidado","","","NAO",9
"Congresso","Membro do Comitê de Programa","2011","Brasil","","NAO_INFORMADO","http://www.each.usp.br/cbsoft2011/portugues/sbes/sbes_pt.html","NAO","Avaliador","Convidado","","","NAO",10
"Congresso","Membro do Comitê de Programa","2011","Estados Unidos","","NAO_INFORMADO","http://cbse-conferences.org/2011/","NAO","Avaliador","Convidado","","","NAO",11
"Congresso","Comitê de Programa","2006","Portugal","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",12
"Congresso","Comitê de Programa","2008","Estados Unidos","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",13
"Congresso","Membro do Comitê de Programa","2011","Brasil","","NAO_INFORMADO","http://www.each.usp.br/cbsoft2011/portugues/sbcars/sbcars_pt.html","NAO","Avaliador","Convidado","","","NAO",14
"Congresso","Membro de Comitê de Programa","2013","França","","NAO_INFORMADO","http://www.lirmm.fr/ecsa13/","NAO","Avaliador","Convidado","","","NAO",15
"Congresso","","2006","Estados Unidos","","NAO_INFORMADO","http://reasearch.microsoft.com/workshops/FS2006","NAO","","Ouvinte","","","NAO",16
"Congresso","Membro do Comitê de Programa","2010","Brasil","","NAO_INFORMADO","http://wiki.dcc.ufba.br/CBSOFT/SBES2010","NAO","Avaliador","Convidado","","","NAO",17
"Congresso","Membro do Comitê de Programa","2011","Brasil","","NAO_INFORMADO","http://www.dimap.ufrn.br/csbc2011/eventos/ctd.php","NAO","Avaliador","Convidado","","","NAO",18
"Congresso","","2003","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",19
"Congresso","Membro do Comitê de Programa","2010","Brasil","","NAO_INFORMADO","http://sbrc2010.inf.ufrgs.br/anais/data/workshops_wtf.html","NAO","Avaliador","Convidado","","","NAO",20
