ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"007900000004","Universidade Estadual de Campinas","1","1",0
1,"986200000998","Journal of Universal Computer Science (Online)","5","",0
2,"986300000990","Journal of Software Engineering Research and Development (JSERD)","7","",0
3,"986400000991","Software Testing, Verification and Reliability","8","",0
4,"986500000993","Journal of Software Engineering Research and Development (JSERD)","9","",0
5,"986600000995","Science of Computer Programming (Print)","10","",0
6,"986700000997","Journal of Universal Computer Science (Online)","11","",0
7,"986800000999","Software, Practice & Experience (Print)","12","",0
8,"986900000990","The Journal of Systems and Software","13","",0
9,"987000000992","Journal of the Brazilian Computer Society (Impresso)","14","",0
10,"987100000994","The Journal of Systems and Software","15","",0
11,"987200000996","Science of Computer Programming (Print)","16","",0
12,"987300000998","Software, Practice & Experience (Print)","17","",0
13,"987400000990","The Journal of Systems and Software","18","",0
14,"987500000991","Journal of Universal Computer Science (Online)","19","",0
15,"987600000993","Journal of Universal Computer Science (Online)","20","",0
16,"987700000995","IEEE Transactions on Software Engineering","21","",0
17,"987800000997","Journal of the Brazilian Computer Society (Impresso)","22","",0
18,"987900000999","Software, Practice & Experience (Print)","23","",0
19,"988000000990","Journal of Universal Computer Science (Online)","24","",0
20,"988200000994","The Journal of Systems and Software","26","",0
21,"000100000991","Pontífice Universidade Católica do Rio de Janeiro","27","2",0
22,"158700000001","Universidade de Coimbra","28","3",0
23,"037700000002","Fundação de Amparo à Pesquisa do Estado de São Paulo","29","",0
24,"002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","30","",0
25,"045000000000","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","31","",0
26,"988400000998","IET Software (Online)","32","",0
27,"033000000007","Universidade Estadual Paulista Júlio de Mesquita Filho","33","",0
28,"033300000002","Universidade Federal de Minas Gerais","34","",0
