PARTICIPACAO-EM-CONGRESSO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"361",0
1,"360",0
2,"358",0
3,"213",0
4,"353",0
5,"362",0
6,"355",0
7,"367",0
8,"363",0
9,"357",0
10,"364",0
11,"356",0
12,"215",0
13,"280",0
14,"365",0
15,"351",0
16,"196",0
17,"366",0
18,"359",0
19,"99",0
20,"368",0
