NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-ENCONTRO_Id
"Workshop de Engenharia de  Software baseada em  Componentes-Softex","","","","São Paulo, SP","",0
"53rd IFIP Working Group 10.4 Meeting-Dependable Computing and Fault Tolerance","","","","Natal,RN","",1
"First RiSE Summer School on Software Reuse","","","","Recife,PE","",2
