PROGRAMA-DE-RADIO-OU-TV_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"498",0
1,"499",0
2,"500",0
3,"504",0
4,"505",0
5,"506",0
6,"507",0
7,"509",0
8,"510",0
9,"511",0
10,"512",0
11,"513",0
12,"514",0
13,"515",0
14,"516",0
15,"517",0
16,"642",0
17,"643",0
18,"648",0
19,"721",0
20,"734",0
21,"736",0
22,"737",0
23,"738",0
24,"756",0
25,"84",0
26,"508",0
