IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"FR","Francês","BEM","BEM","RAZOAVELMENTE","BEM",0
"EN","Inglês","BEM","RAZOAVELMENTE","RAZOAVELMENTE","RAZOAVELMENTE",0
"DE","Alemão","RAZOAVELMENTE","BEM","RAZOAVELMENTE","BEM",0
"ES","Espanhol","BEM","RAZOAVELMENTE","POUCO","BEM",0
