NIVEL-DO-CURSO,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"OUTRA","Oficina de Música e Teatro para Crianças","1982","Alemanha","Alemão","IMPRESSO","","NAO","","","NAO",0
"OUTRA","Oficina de Música e Teatro para Crianças","1983","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"OUTRA","Música e Dança, Textos e Entre-textos","1995","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"APERFEICOAMENTO","Curso de Aperfeiçoamento em Arte e Educação","1984","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",3
"APERFEICOAMENTO","A relação entre Som e Movimento Corporal na Coreografia 'Clytemnestra' de Martha Graham","1986","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",4
"ESPECIALIZACAO","Modelos Perceptivos na Música Eletroacústica","2002","Brasil","Português","OUTRO","","NAO","","","NAO",5
