NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Tese de doutorado","Azione musicale e Anti-ópera: A concepção de teatro musical por Luciano Berio e György Ligeti","2014","Brasil","Português","","","",0
"Tese de doutorado","O fluxo criativo na atividade composicional a partir da perspectiva de Brgson e Deleuse","2016","Brasil","Português","","","",1
