CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"INTERNACIONAL","XIV Congresso da ANPPOM","Porto Alegre","2003","O im-som, o di-som e o me-som ou as inspirações da semiótica peirceana na obra de François Bayle","1","","","320","326","","","","",0
"INTERNACIONAL","IX SBCM Brazilian Symposium on Computer Music","Campinas","2003","Projeto e implementação sonora em Op_era, um ambiente imersivo-interativo desenhado em sistemas de realidade virtual","IX","","","187","193","85884425","","","",1
"NACIONAL","V Forum do Centro de Linguagem Musical","São Paulo","2002","O Processo Composicional em "Dos Salmos"","1","","","1","1","","","","",2
"NACIONAL","XIII Encontro Nacional da ANPPOM","Belo Horizonte","2001","Modelos Perceptivos na Música Eletroacústica","1","","","155","160","","","","",3
"INTERNACIONAL","ICMC 2000 - International Computer Music Conference","Berlim","2000","Body Representations in the Electroacoustic Music","1","","","16","19","09667927","","","",4
"NACIONAL","VII Simpósio Brasileiro de Computação e Música","Curitiba","2000","Sound Models, Metaphor and Mimesis in the Composition of Electroacoustic Music","1","","","161","161","85729205","","","",5
"NACIONAL","XI Encontro Nacional da ANPPOM","Auditório do I.A./Centro de Co","1998","O conceito de imagem-de-som de François Bayle","1","","","273","277","","","","",6
"INTERNACIONAL","10. Simpósio de Computação e Música","Belo Horizonte","2005","10. Simpósio de Computação e Música","01","01","","264","270","8576690438","","","",7
"NACIONAL","XVI Congresso da ANPPOM","Brasília","2006","ANPPOM: Brasília 2006 - XVI Congresso","1","1111","","496","500","","","","",8
"NACIONAL","XVII Congresso da ANPPOM","São Paulo","2007","XVII Congresso da ANPPOM","01","01","01","1","12","","","","",9
"INTERNACIONAL","11º Simpósio Brasileiro de Computação Musical","São Paulo","2007","11th Brazilian Symposium on computer music","01","01","01","13","24","9788588697133","IME/ECA - USP","São Paulo","",10
"NACIONAL","XIX Congresso da ANPPOM","Curitiba","2009","A fuga (marcha-rancho) de Edino Krieger.","01","05","","460","463","19835973","","","",11
"INTERNACIONAL","I Simpósio Brasileiro de Pós-Graduação em Música","Rio de Janeiro","2010","SIMPOM - I Simpósio Brasileiro de Pós-Graduação em Música","1","1","1","52","61","9788561066284","Unirio/CLA/PPGM","Rio de Janeiro","",12
"INTERNACIONAL","EMS2011 - Electrocoustic Music Studies Conference","Nova Iorque","2011","EMS2011/Sforzando!","01","01","01","","","","","","",13
"INTERNACIONAL","IV Seminário Música Ciência Tecnologia: Fronteiras e Rupturas","São Paulo","2012","Seminário Música Ciência e Tecnologia","1","1","1","103","108","19829604","","","",14
"NACIONAL","XXIII Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música","Natal","2013","XXIII Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música - Natal 2013","","","","","","1983-5973","","","",15
"INTERNACIONAL","4º Encontro Internacional de Teoria e Análise Musical","São Paulo","2017","Anais do 4º Encontro Internacional de Teoria e Análise Musical","1","","","139","150","2237-0757","Escola de Comunicações e Artes, USP","São Paulo","",16
"NACIONAL","XV Congresso da ANPPOM","Rio de Janeiro","2005","XV Congresso da ANPPOM","","","","1","9","","","","",17
