INSTITUICAO-PROMOTORA-DO-EVENTO,LOCAL-DO-EVENTO,CIDADE,EXPOSICAO,PREMIACAO,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id
"Pró-Bandas","","São Paulo - SP","","",0
"-","","São Paulo - SP","","",1
"-","","-","","",2
"-","","-","","",3
"-","","-","","",4
"-","","-","","",5
"-","","-","","",6
"-","","-","","",7
