OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-BIBLIOGRAFICA_Id
0,"41",0
1,"42",0
2,"43",0
3,"244",0
4,"245",0
5,"276",0
6,"432",0
7,"433",0
8,"44",0
