PARTICIPACAO-EM-CONGRESSO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"539",0
1,"680",0
2,"534",0
3,"577",0
4,"523",0
5,"695",0
6,"540",0
7,"552",0
8,"525",0
9,"541",0
10,"686",0
11,"530",0
12,"536",0
13,"522",0
14,"679",0
