NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","Reencuentro Ayacucho 88","1988","Peru","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",0
"Encontro","Modelos Perceptivos na Música Eletroacústica","2001","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",1
"Encontro","A Casa do Poeta: experimentos em Áudio-Arte","1994","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",2
"Encontro","Apresentação de composições próprias","1998","França","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",3
"Encontro","Painel: as imagens da música","2007","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",4
"Encontro","","1987","Argentina","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",5
"Encontro","Pesquisa em Composição","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",6
"Encontro","III Encontro de Música e Mídia","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",7
"Encontro","II Encontro Internacional de Teoria e Análise Musical UNESP/ USP/ Unicamp","2011","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",8
"Encontro","Apresentação de composições próprias","1997","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",9
"Encontro","Apresentação de composições próprias","1999","México","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",10
"Encontro","","1998","Canadá","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",11
"Encontro","Apresentação de composições próprias","1998","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",12
"Encontro","Participação em encontro","2006","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",13
"Encontro","Brincadeiras de ação no som","1991","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",14
"Encontro","Apresentação de composições próprias","1995","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",15
"Encontro","Emoção e significação na música eletroacústica","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",16
"Encontro","Apresentação Do Espetáculo "Kelbilim, O Cão Da Divindade"","1991","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",17
"Encontro","","1997","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",18
"Encontro","Intersecções da música no universo da dança","2010","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",19
"Encontro","Conversa de compositor: sentidos de paráfrase, citação e referência alegórica em exemplos composicionais","2010","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",20
"Encontro","","1999","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",21
"Encontro","Le Corps Mouvant","1986","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",22
"Encontro","Workshop: Música e dança, textos e entretextos","1995","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",23
"Encontro","Compositora residente, jurada do I concurso nacional de contrabaixo","2002","Brasil","","NAO_INFORMADO","","NAO","Homenageado","Convidado","","","NAO",24
"Encontro","Materiales de Willy Corrêa de Oliveira: da tradução intersemiótica à escolha dos instrumentos e materiais","2017","Brasil","","NAO_INFORMADO","http://www2.eca.usp.br/etam/ivencontro/EITAM4.pdf","NAO","Apresentação oral","Participante","","Materiales by Willy Corrêa de Oliveira: from the Intersemiotic Translation to the Choice of Instruments and Materials","SIM",25
"Encontro","Vozes da Cidade","1995","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",26
"Encontro","Música e relações de poder","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",27
"Encontro","Apresentação musical","1982","Alemanha","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",28
"Encontro","Apresentação musical","1994","França","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",29
"Encontro","","1991","Alemanha","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",30
"Encontro","Conceito de imagem-de som de François Bayle","1998","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",31
"Encontro","Análise musical, emoção e significado no século XXI","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",32
"Encontro","II Encontro Nacional de Compositores Universitários","2004","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",33
"Encontro","Arte e Tecnologia","1999","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",34
