ORGANIZACAO-DE-EVENTO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"73",0
1,"74",0
2,"75",0
3,"76",0
4,"77",0
5,"78",0
6,"79",0
7,"80",0
8,"265",0
9,"475",0
10,"547",0
11,"549",0
12,"572",0
13,"638",0
14,"639",0
15,"675",0
16,"735",0
17,"739",0
18,"741",0
19,"743",0
20,"834",0
