FINALIDADE,INSTITUICAO-PROMOTORA,LOCAL,CIDADE,FINALIDADE-INGLES,OUTRA-PRODUCAO-TECNICA_Id
"Avaliação e planejamento dos cursos de Pós-Graduação no Brasil","Instituto de Artes da Unesp","Instituto de Artes da UNESP","São Paulo","",0
"Trazer aos alunos de pós-graduação um aprofundamento na definição de pesquisa em música","Universidade Estadual de Campinas","Departamento de Música","Campinas","",1
"Transmissão do concerto pela TV ZDF","ZDF - Segunda Televisão Alemã","Teatro Philharmonie","Munique- Alemanha","",2
"Colaboração na disciplina SEMINÁRIOS EXPERIMENTAIS II","UNICAMP","UNICAMP","Campinas - SP","",3
