NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","O im-som, o di-som e o me-som ou as inspirações da semiótica peirceana na obra de François Bayle","2003","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",0
"COMPLETO","Projeto e implementação sonora em Op_era, um ambiente imersivo-interativo desenhado em sistemas de realidade virtual","2003","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"RESUMO","O Processo Composicional em "Dos Salmos"","2002","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"COMPLETO","Modelos Perceptivos na Música Eletroacústica","2001","Brasil","Português","IMPRESSO","","NAO","","","NAO",3
"COMPLETO","Body Representations in the Electroacoustic Music","2000","Alemanha","Inglês","IMPRESSO","","NAO","","","NAO",4
"COMPLETO","Sound Models, Metaphor and Mimesis in the Composition of Electroacoustic Music","2000","Brasil","Inglês","VARIOS","","NAO","","","NAO",5
"COMPLETO","O conceito de imagem-de-som de François Bayle","1998","Brasil","Português","IMPRESSO","","NAO","","","NAO",6
"COMPLETO",""Cidade" de Gilberto Mendes: o toca-discos como instrumento musical","2005","Brasil","Português","IMPRESSO","","NAO","","","NAO",7
"COMPLETO","Gilberto Mendes, música eletroacústica e Cage: alguns apontamentos","2006","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",8
"COMPLETO","O Grupo Música Nova e a mídia eletroacústica: revisão de conceitos e proposta de classificação","2007","Brasil","Português","VARIOS","","NAO","","","NAO",9
"COMPLETO","Composição Assistida por computador na obra Klavibm II de Duprat e Cozzella","2007","Brasil","Português","IMPRESSO","","NAO","","","NAO",10
"COMPLETO","Santos Football Music: um Divertimento alla Mendes","2009","Brasil","Português","VARIOS","","NAO","","","NAO",11
"COMPLETO","Partitura de escuta: confluência entre sonologia e análise musical","2010","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",12
"RESUMO","Estúdio da Glória in the 1980s: an electroacoustic production center in Brazil","2011","Estados Unidos","Inglês","IMPRESSO","[http://www.ems-network.org/ems11/]","NAO","","","NAO",13
"COMPLETO","Estúdio da Glória, década de 80: polo de produção eletroacústica no Brasil","2012","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",14
"COMPLETO","Análise gráfica de 'Introdução à Pedra' de Rodolfo Caesar: uma proposta metodológica","2013","Brasil","Português","MEIO_DIGITAL","[http://www.anppom.com.br/congressos/index.php/ANPPOM2013/Escritos2013/paper/view/2018/541]","NAO","","","NAO",15
"COMPLETO","Materiales de Willy Corrêa de Oliveira: da tradução intersemiótica à escolha dos instrumentos e materiais","2017","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",16
"COMPLETO","A Música em Kelbilim, o cão da Divindade","2005","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",17
