BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"7",0
1,"176",0
2,"177",0
3,"311",0
4,"312",0
5,"317",0
6,"446",0
7,"472",0
8,"802",0
9,"804",0
10,"831",0
