NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"INICIACAO_CIENTIFICA","","Movimento da Música, música do movimento","2001","Brasil","Português","","NAO","","","",0
"INICIACAO_CIENTIFICA","","François Bayle - três obras, três períodos, três procedimentos composicionais","2000","Brasil","Português","","NAO","","","",1
"INICIACAO_CIENTIFICA","","Eunice Catunda","2002","Brasil","Português","","NAO","","","",2
"INICIACAO_CIENTIFICA","","O Piano Expandido - uma análise de novas formas de tratamento timbrístico do piano no seculo XX partindo de obras de Cowell, Cage, Stockhausen e Crumb.","2000","Brasil","Português","","NAO","","","",3
"INICIACAO_CIENTIFICA","","Recuperação, produção e restauro das partes eletroacústicas das obras mistas de Gilberto Mendes","2005","Brasil","Português","","NAO","","","",4
"INICIACAO_CIENTIFICA","","Panorama do ensino de música eletroacústica no Brasil","2007","Brasil","Português","","NAO","","","",5
"INICIACAO_CIENTIFICA","","Estudo sobre os procedimentos harmônicos Pós-Tonais na Musica Brasileira do século XX","2008","Brasil","Português","","NAO","","","",6
"INICIACAO_CIENTIFICA","","Estudo dos manuscritos de Dinorá de Carvalho: catalogação, editoração e estudos genéticos.","2010","Brasil","Português","","NAO","","","",7
"INICIACAO_CIENTIFICA","","A escuta na infância: um estudo teórico","2010","Brasil","Português","","NAO","","","",8
"INICIACAO_CIENTIFICA","","Elementos percussivos do violão: elaboração de uma série de estudos didáticos a partir da obra para violão de Edino Krieger","2014","Brasil","Português","","NAO","","","",9
"INICIACAO_CIENTIFICA","","Música em cena ou o músico que queria ter sido ator/ experimentações em teatralidades musicais","2005","Brasil","Português","","NAO","","","",10
