SEQUENCIA-ESPECIFICACAO,DISCIPLINA_Text,ENSINO_Id
"1","Elementos da Linguagem Musical para Bailarinos",0
"2","Elementos de Musica:Ritmica I",0
"3","Elementos de musica:Ritmica II",0
"4","Musica e Dança: Exercícios de Linguagem",0
"1","Composição I",1
"2","Composição II",1
"3","Composição III",1
"4","Composição IV",1
"5","Composição IX",1
"6","Composição V",1
"7","Composição VI",1
"8","Composição VII",1
"9","Composição VIII",1
"10","Composição X",1
"11","Harmonia do clacissismo ao Romantismo",1
"12","Harmonia do Príodo Barroso",1
"13","Harmonia do Seculo XX",1
"14","Harmonia no Romantismo",1
"15","Iniciação à Composição",1
"1","Laboratório Contemporaneo de Musica",2
"1","Seminario Experimental",3
"2","Seminários Avançados:leituras em semiótica musical, suas diversas correntes e métodos de análise musical",3
"3","Tópicos Especiais em Composição: percepção, construção e análise em música eletroacústica",3
"4","Tópicos Especiais em Composição:a obra musical de François Bayle",3
"5","Tópicos Especiais em Fundamentos Teóricos: Brasil Moderno: os movimentos musicais dos anos 20 aos anos 60 em São Paulo e Rio de Janeiro ",3
"6","Tópicos Especiais em Linguagem e Estruturação Musical : a análise musical em questão",3
"7","Tópicos Especiais em Fundamentos Teóricos: Brasil Moderno: os movimentos musicais dos anos 20 aos anos 60 em São Paulo e Rio de Janeiro",3
