TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,RELATORIO-DE-PESQUISA_Id
"O Grupo Música Nova e a mídia eletroacústica","2007","Brasil","Português","VARIOS","","NAO","","",0
"Faces da Música Eletroacústica Brasileira: o Estúdio da Glória nos anos 80 e 90","2007","Brasil","Português","NAO_INFORMADO","","NAO","","",1
"Relatório de Pesquisa, produção acadêmica e cultural Bolsa Produtividade Março de 2010 a fevereiro de 2013","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",2
