NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-DIVULGACAO-CIENTIFICA,PROGRAMA-DE-RADIO-OU-TV_Id
"ENTREVISTA","Eletroacústicas - programa 01","2012","Brasil","Português","NAO","","","http://radiomec.com.br/eletroacusticas/podcast/","NAO_INFORMADO","SIM",0
"ENTREVISTA","Eletroacústicas - programa 02","2012","Brasil","Português","NAO","","","http://radiomec.com.br/eletroacusticas/podcast/","NAO_INFORMADO","SIM",1
"ENTREVISTA","Eletroacústicas - programa 03","2012","Brasil","Português","NAO","","","http://radiomec.com.br/eletroacusticas/podcast/","NAO_INFORMADO","SIM",2
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 1: Espaço Acústico - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",3
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 2: melos e modos: o conceito de harmonia dos gregos antigos - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",4
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 3 - Do organun aos trovadores - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","OUTRO","SIM",5
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 4: Texturas Polifônicas ? do século XII ao XVII - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",6
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 7 ? Instrumentos harmônicos: cordas dedilhadas - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","OUTRO","SIM",7
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 6 ? Instrumentos harmônicos: teclados - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",8
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 8 ? Harmonia tonal: princípios, movimentos e cadências - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",9
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 9 ? Harmonia tonal no barroco - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",10
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 10 ? Harmonia tonal no classicismo - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",11
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 11 ? Harmonia tonal no Romantismo - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",12
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 12 ? harmonia atonal, dodecafônica e serial - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",13
