SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,37,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,38,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,39,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,40,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,41,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,42,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,43,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,44,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,45,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,46,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,47,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,48,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,49,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,50,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,51,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,52,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,53,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,54,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,55,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,56,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,57,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,58,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,59,,,,,,,,,,,,,,,,,,,
"Outras atividades profissionais, científicas e técnicas","","",,,,,,60,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,61,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,62,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,63,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,64,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,65,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,66,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,67,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,68,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,69,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,70,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,71,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,72,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,73,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,74,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,75,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,76,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,77,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,78,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,79,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,80,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,81,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,82,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,83,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,84,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,85,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,86,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,87,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,88,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,89,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,90,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,91,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,92,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,93,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,94,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,95,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,96,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,97,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,98,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,99,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,100,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,101,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,102,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,103,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,104,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,107,,,,,,,,,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,3,,,,,,,,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,4,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","Educação","",,,,,,,5,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,,6,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,,7,,,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,6,,,,,,,,,,,,,,,,,
"Educação","Atividades ligadas ao patrimônio cultural e ambiental","",,,,,,,,7,,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,8,,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,9,,,,,,,,,,,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,14,,,,,,,,,,,,,,,,,
"Educação Superior","","",,,,,,,,,18,,,,,,,,,,,,,,,,
"Educação Superior","","",,,,,,,,,19,,,,,,,,,,,,,,,,
"Educação Superior","","",,,,,,,,,20,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,23,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,24,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,25,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,26,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,27,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,28,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,29,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,30,,,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,31,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,32,,,,,,,,,,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,34,,,,,,,,,,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,53,,,,,,,,,,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,54,,,,,,,,,,,,,,,,
"Educação","","",,,,,,,,,55,,,,,,,,,,,,,,,,
"Educação","Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","",,,,,,,,,,8,,,,,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Educação","",,,,,,,,,,9,,,,,,,,,,,,,,,
"Outras atividades profissionais, científicas e técnicas","","",,,,,,,,,,20,,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,0,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,1,,,,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,2,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,3,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,4,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,5,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,6,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,7,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,8,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,9,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,10,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,11,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,12,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,13,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,14,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,15,,,,,,,,,,,,,,
"Atividades de rádio e de televisão","","",,,,,,,,,,,26,,,,,,,,,,,,,,
"Educação Superior","","",,,,,,,,,,,,0,,,,,,,,,,,,,
"Educação Superior","","",,,,,,,,,,,,1,,,,,,,,,,,,,
"Educação","Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","",,,,,,,,,,,,,0,,,,,,,,,,,,
"Educação Superior","Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","",,,,,,,,,,,,,,0,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","Educação Superior","",,,,,,,,,,,,,,1,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,32,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,33,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,34,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,35,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,36,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,37,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,38,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,39,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,40,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,41,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,43,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,44,,,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,45,,,,,,,,,,,
"Atividades ligadas ao patrimônio cultural e ambiental","","",,,,,,,,,,,,,,46,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,,,47,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,,,48,,,,,,,,,,,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,,,,49,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,50,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,54,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,55,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Pesquisa e desenvolvimento científico","Educação",,,,,,,,,,,,,,56,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,60,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,62,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,129,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,130,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,131,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,132,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","","",,,,,,,,,,,,,,133,,,,,,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","Pesquisa e desenvolvimento científico",,,,,,,,,,,,,,134,,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,,0,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,,1,,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,5,,,,,,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,9,,,,,,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,10,,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,11,,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,12,,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,13,,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,14,,,,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,15,,,,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,16,,,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,,17,,,,,,,,,,
"Educação","Atividades ligadas ao patrimônio cultural e ambiental","",,,,,,,,,,,,,,,,1,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,2,,,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,3,,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,4,,,,,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,,,0,,,,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,,,4,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,6,,,,,,,,
"Educação","Atividades ligadas ao patrimônio cultural e ambiental","",,,,,,,,,,,,,,,,,7,,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,8,,,,,,,,
"Pesquisa e desenvolvimento científico","Educação","",,,,,,,,,,,,,,,,,9,,,,,,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,,,,,0,,,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,,,,1,,,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,,,,2,,,,,,,
"Educação Superior","Educação Pré-Escolar e Fundamental","",,,,,,,,,,,,,,,,,,3,,,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,,,,4,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,6,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,19,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,21,,,,,,,
"Educação","Atividades Recreativas, Culturais e Desportivas","",,,,,,,,,,,,,,,,,,23,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,24,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,25,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,26,,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,27,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,30,,,,,,,
"Pesquisa e desenvolvimento científico","Educação","",,,,,,,,,,,,,,,,,,35,,,,,,,
"Pesquisa e desenvolvimento científico","Educação","Atividades artísticas, criativas e de espetáculos",,,,,,,,,,,,,,,,,,36,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,37,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,38,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,39,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,40,,,,,,,
"Educação","Pesquisa e desenvolvimento científico","Atividades artísticas, criativas e de espetáculos",,,,,,,,,,,,,,,,,,41,,,,,,,
"Educação","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,,,,,42,,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,43,,,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,,,,,0,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,5,,,,,,
"Educação","Artes, cultura, esporte e recreação","",,,,,,,,,,,,,,,,,,,6,,,,,,
