FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"Elaboração de relatório com as informações sobre o Programa de Música para a Avaliação Institucional Unicamp 1999-2003","2","13","IRRESTRITA","Instituto de Artes - UNICAMP","Campinas","",0
"projeto de pesquisa regular encaminhado à FAPESP para desenvolvimento no ano de 2005","8","20","RESTRITA","Universidade Estadual de Campinas","São Paulo","",1
"A Assessoria foi dada à Comissão de Atividades Interdisciplinares CAI/CONSU - UNICAMP","2","1","IRRESTRITA","Universidade Estadual de Campinas","Campinas","",2
"DataCAPES é relatório enviado anualmente à CAPES para avaliação do Programa de Pós-Graduação","3","1","IRRESTRITA","Universidade Estadual de Campinas","Campinas","",3
"Coleta Capes, relatório enviado à CAPES anualmente para avaliação do Programa de Pós-Graduação","3","1","IRRESTRITA","Universidade Estadual de Campinas","Campinas","",4
"Relatório das atividades e produções acadêmico-artísticas do Programa para a avaliação da CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","3","1","IRRESTRITA","Instituto de Artes","Canpinas","",5
"Avaliar o projeto de implantação do programa de pós-Graduação na ECA/USP","","","RESTRITA","","São Paulo","",6
"Avaliação e seleção dos artigos submetidos ao Congresso","2","100","RESTRITA","","São Paulo","",7
"Exarar Pareceres sobre os artigos submetiddos para apresentação no Encontro","1","10","RESTRITA","","São Paulo","",8
"Exarar pareceres submetidos ao XXI Congresso da ANPPOM","1","10","RESTRITA","","Uberlândia","",9
"Membro da câmara setorial de musica","12","","NAO_INFORMADO","Estado de São Paulo","São Paulo","",10
"Analisar a referida obra do autor Maurício Funcia de Bonis proposta para publicação para a Editora da UNESP","1","","NAO_INFORMADO","Editora da UNESP","São Paulo - SP","",11
"Emitir parecer sobre candidaturas a bolsas PIBIC/CNPq e Bolsa Pesquisa SAE","1","","NAO_INFORMADO","Universidade Estadual de Campinas","Campinas - SP","",12
"Assessora "ad hoc" no processo de avaliação do Núcleo Interdisciplinar de Comunicação Sonora - NICS","","","NAO_INFORMADO","Universidade Estadual de Campinas","Campinas - SP","",13
"parecer para seleç ào de artigos científicos para exposição oral e publicação nos Anais do Encontro","1","4","RESTRITA","","São Paulo - SP","",14
"parecer para edição de livro","2","2","RESTRITA","","São Paulo","",15
