PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"2",0
1,"13",0
2,"22",0
3,"23",0
4,"25",0
5,"138",0
6,"139",0
7,"140",0
8,"141",0
9,"142",0
10,"143",0
11,"144",0
12,"145",0
13,"150",0
14,"151",0
15,"152",0
16,"283",0
17,"294",0
18,"305",0
19,"310",0
20,"318",0
21,"321",0
22,"322",0
23,"324",0
24,"439",0
25,"440",0
26,"449",0
27,"458",0
28,"595",0
29,"597",0
30,"632",0
31,"772",0
32,"785",0
33,"789",0
34,"790",0
35,"822",0
36,"823",0
37,"825",0
38,"828",0
39,"840",0
40,"848",0
41,"853",0
42,"854",0
43,"874",0
44,"784",0
