NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Pós Graduação em Música: Avaliação e Planejamento","2005","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",0
"Congresso","Coloquio Internacional de Teatro","1991","Alemanha","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",1
"Congresso","Gilberto Mendes, Música Eletroacústica e Cage","2006","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",2
"Congresso","Infobodies: Unfolding and Potentiallities","1999","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",3
"Congresso","Parecerista da sub-área Musica e Tecnologia/Sonologia","2009","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",4
"Congresso","Body Representations in Eletroacoustic Music","2000","Alemanha","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",5
"Congresso","O Im-Som, o Di-Som, e o Me-Som, ou as inspirações da semiótica peirceana na obra de François Bayle","2003","Brasil","","NAO_INFORMADO","http://www.anppom.com.br/anais.php","NAO","Apresentação Oral","Participante","","","NAO",6
"Congresso","Produção de desenvolvimento unidade práticas e direção do teatro grupo de trabalho","1989","Alemanha","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",7
"Congresso","Parecerista","2008","Brasil","","NAO_INFORMADO","","NAO","Avaliador","Convidado","","","NAO",8
"Congresso","Participação","2003","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",9
"Congresso","","1996","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",10
"Congresso","Orientadora do trabalho "Recuperação. produção e restauro das partes eletroacústicas das obras mistas de Gilberto Mendes", exposto por Clayton Rosa Mamedes","2007","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",11
"Congresso","Participação","2005","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",12
"Congresso","Santos football music: Um divertimento alla Mendes","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",13
"Congresso","Solo-Rio: os caminhos da música no Teatro","1989","Alemanha","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",14
